,t,stimstate,Qm,Vm,"('m', 'CaHVA')","('h', 'CaHVA')","('m', 'Ih')","('m', 'NaTs2t')","('h', 'NaTs2t')","('m', 'CaLVAst')","('h', 'CaLVAst')","('m', 'SKv31')",Cm,iax
0,0.0,0.0,-0.00075,-85.73559945926456,3.540798467948084e-07,0.8026642920830088,0.0843878856833029,0.00018925837783218753,0.9864705752979879,0.0004890288568106367,0.33932300588798725,2.1092822561138442e-05,0.008747824762762015,-141716.20979400547
1,0.0,0.0,-0.00075,-85.73559945926456,3.540798467948084e-07,0.8026642920830088,0.0843878856833029,0.00018925837783218753,0.9864705752979879,0.0004890288568106367,0.33932300588798725,2.1092822561138442e-05,0.008747824762762015,-141716.20979400547
2,2.5e-05,0.0,-0.0005954889759857174,-85.73559945926456,3.540798467948084e-07,0.8026642920830088,0.0843878856833029,0.00018925837783218753,0.9864705752979879,0.0004890288568106367,0.33932300588798725,2.1092822561138442e-05,0.006945644280106203,-141716.20979400547
3,5e-05,1.0,-0.0005482771389505796,-88.91324024391926,3.7187913996497103e-07,0.8026642908185958,0.08438804751725971,0.0001905881226586879,0.986468998903428,0.0004892094202469665,0.3393231169761588,2.1096097042029193e-05,0.006166428503184327,-99065.83886732883
4,7.5e-05,1.0,-0.0005345242842350131,-82.00257567561874,4.1638294468491165e-07,0.8026642853148046,0.08438811060019219,0.00019281870270721242,0.9864668470919034,0.0004895465243050707,0.33932315451764783,2.1101258528187485e-05,0.0065183840852689155,-80114.01484594148
5,9.999999999999999e-05,1.0,-0.000527093109307503,-79.98283118494913,4.7429071590920257e-07,0.8026642785807827,0.08438815268020138,0.0001953985259298923,0.9864645124680722,0.0004899483105820207,0.33932316252251205,2.110711725075392e-05,0.006590078164258449,-77267.30976366196
6,0.00012499999999999998,0.0,-0.0005273296816678536,-64.3209344260145,4.770870585316754e-07,0.8026642657496789,0.08438810095227119,0.000196056082601062,0.9864630387485062,0.0004900114761370959,0.3393226883598371,2.110978194907014e-05,0.008198414503359203,-70362.26524116768
7,0.00015,0.0,-0.0005242724195072516,-64.34471836818435,4.798668713914078e-07,0.8026642529354922,0.08438804927784627,0.00019671130160652312,0.9864615685200027,0.0004900743790614925,0.3393222144217635,2.111244000751502e-05,0.00814787029616531,-71918.51409359668
8,0.00017500000000000003,0.0,-0.0005213756940200582,-64.0373547086341,4.828598133404366e-07,0.802664239902693,0.08438799691246748,0.00019739580374142956,0.9864600532722262,0.0004901406726630621,0.3393217375908684,2.1115183295691112e-05,0.008141743149639528,-71708.99168836085
9,0.00020000000000000004,0.0,-0.0005186771156742423,-63.74613069849525,4.860546898182809e-07,0.8026642266627608,0.08438794389241983,0.00019810804612141594,0.9864584953696331,0.0004902101788720202,0.3393212580190995,2.1118007335033612e-05,0.008136605469082781,-71369.82641431625
10,0.00022500000000000008,0.0,-0.0005163755553922293,-63.47415398683696,4.894626415030729e-07,0.8026642132277202,0.08438789025805916,0.00019884795859160192,0.9864568963153683,0.0004902829458896933,0.3393207758451168,2.1120910274211413e-05,0.008135209734332393,-71027.48563375046
11,0.00025000000000000006,0.0,-0.0005144790201059871,-63.241593431863734,4.930744488682281e-07,0.802664199624374,0.08438783609584177,0.00019961308454363876,0.9864552609097216,0.0004903587316139557,0.3393202914085183,2.11238837585506e-05,0.008135136896262503,-70736.25997727721
12,0.00027500000000000007,0.0,-0.0005126186901846766,-63.04995852134597,4.968542291926784e-07,0.8026641858823405,0.08438778149866669,0.0002003989725459333,0.9864535955511778,0.000490437004757297,0.3393198051076096,2.1126915364921428e-05,0.008130357294543283,-70501.72381941204
13,0.0003000000000000001,0.0,-0.0005109725796215319,-62.86198197243071,5.007987740433173e-07,0.8026641720042673,0.08438772647483887,0.00020120522365532387,0.9864519008117871,0.000490517717819199,0.339319316978001,2.1130003982232166e-05,0.008128483442434704,-70264.75228853362
14,0.00032500000000000015,0.0,-0.000509577637562394,-62.69565116236939,5.048891045646923e-07,0.8026641580058198,0.0843876710734932,0.00020202948305666216,0.9864501800757697,0.0004906005897963232,0.3393188272303596,2.1133143039601677e-05,0.008127798788510679,-70058.14537302448
