,t,stimstate,Qm,Vm,"('m', 'NapEt2')","('h', 'NapEt2')","('m', 'NaTat')","('h', 'NaTat')","('m', 'KPst')","('h', 'KPst')","('m', 'KTst')","('h', 'KTst')","('m', 'SKv31')",Cm,iax
0,0.0,0.0,-0.00075,-42.86779972963229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017495649525524026,-4.930380657631324e-27
1,0.0,0.0,-0.00075,-42.86779972963229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017495649525524026,-4.930380657631324e-27
2,2.5e-05,0.0,-0.0007502409077746776,-42.86779972963229,1.7706607126076765e-05,1.8694851420970867e-09,1.7706607126076765e-05,1.8757400026503172e-07,1.956115989617695e-07,1.1280265326512013e-08,1.5089852530960031e-05,3.221288867467969e-07,2.0980272010902502e-08,0.017501269309515666,-4.930380657631324e-27
3,5e-05,1.0,-0.0007503860081555199,-55.644858114820266,3.6790485860996e-05,4.668519481811908e-09,3.6790485860996e-05,2.8441465753269468e-06,4.4412497253878296e-07,4.999674721069417e-08,2.896666606698361e-05,8.869701663917895e-07,4.579222529068426e-08,0.013485271300488133,3.935274979291892e-16
4,7.5e-05,1.0,-0.0007505310480438575,-55.655231553078295,5.5863585567282045e-05,7.46828411849491e-09,5.5863585567282045e-05,5.502866786602446e-06,6.924853965200434e-07,8.873564823340544e-08,4.2836805314719316e-05,1.4520796132694036e-06,7.05891315075711e-08,0.01348536385709001,6.300997825617861e-16
5,9.999999999999999e-05,1.0,-0.0007506760274494344,-55.66560066663875,7.492591034243366e-05,1.0268778824333222e-08,7.492591034243366e-05,8.163733706429113e-06,9.406929347054143e-07,1.274969590401277e-07,5.670027331491747e-05,2.0174571129972843e-06,9.537099688177489e-08,0.013485456340352149,8.662986993368166e-16
6,0.00012499999999999998,1.0,-0.0007508209463820117,-55.67596545619826,9.397746428392147e-05,1.3070003202410892e-08,9.397746428392147e-05,1.0826746407224483e-05,1.1887476508913832e-06,1.6628067032169983e-07,7.055707310745795e-05,2.583102551225422e-06,1.2013782763289346e-07,0.013485548750343669,1.10212467450541e-15
7,0.00015,1.0,-0.0007509658048513689,-55.68632592245467,0.00011301825148923442,1.5871957025036313e-08,0.00011301825148923442,1.349190396158258e-05,1.4366496088629261e-06,2.05086772682137e-07,8.440720773134994e-05,3.1490158135978917e-06,1.448896299795401e-07,0.013485641087133623,1.3375781339025717e-15
8,0.00017500000000000003,1.0,-0.0007511106028673024,-55.696682066107115,0.0001320482760557798,1.86746399517617e-08,0.0001320482760557798,1.6159205442306425e-05,1.6843988724015807e-06,2.439152567707934e-07,9.825068022469942e-05,3.715196785800774e-06,1.6962641013952487e-07,0.013485733350790978,1.5726595029323915e-15
9,0.00020000000000000004,1.0,-0.0007512553404396262,-55.707033887855964,0.00015106754208095416,2.1478051698601688e-08,0.00015106754208095416,1.8828649922279595e-05,1.9319955052611525e-06,2.8276611328245136e-07,0.00011208749362474115,4.281645353523874e-06,1.9434817432948532e-07,0.013485825541384614,1.8073692065818493e-15
10,0.00022500000000000008,1.0,-0.0007514000175781714,-55.71738138840283,0.0001700760536621165,2.4282191925175396e-08,0.0001700760536621165,2.1500236474562958e-05,2.1794395712081375e-06,3.2163933282494426e-07,0.00012591765096782237,4.848361402489519e-06,2.1905492876543437e-07,0.01348591765898334,2.041707669411447e-15
11,0.00025000000000000006,1.0,-0.0007515446342927861,-55.72772456845055,0.0001890738148966102,2.7087060347591913e-08,0.0001890738148966102,2.4173964172362725e-05,2.426731133973199e-06,3.605349060956929e-07,0.00013974115528938636,5.41534481843342e-06,2.437466796622081e-07,0.013486009703655877,2.275675315564083e-15
12,0.00027500000000000007,1.0,-0.0007516891905933359,-55.738063428703185,0.00020806082988173658,2.989265668202136e-08,0.00020806082988173658,2.6849832089095258e-05,2.673870257299623e-06,3.9945282374928446e-07,0.0001535580096240206,5.9825954871046945e-06,2.6842343323401284e-07,0.013486101675470872,2.5092725687606153e-15
13,0.0003000000000000001,1.0,-0.0007518336864897027,-55.74839796986603,0.00022703710271475242,3.269898058819752e-08,0.00022703710271475242,2.9527839298258202e-05,2.9208570049029246e-06,4.383930763973875e-07,0.0001673682170054243,6.550113294275507e-06,2.9308519569405644e-07,0.013486193574496888,2.7424998523028198e-15
14,0.00032500000000000015,1.0,-0.0007519781219917856,-55.75872819264558,0.00024600263749286773,3.550603178238542e-08,0.00024600263749286773,3.2207984873527545e-05,3.167691440503101e-06,4.773556547413941e-07,0.00018117178046639208,7.117898125741116e-06,3.177319732547289e-07,0.013486285400802406,2.9753575890719106e-15
