,t,stimstate,Qm,Vm,"('m', 'NapEt2')","('h', 'NapEt2')","('m', 'NaTat')","('h', 'NaTat')","('m', 'KPst')","('h', 'KPst')","('m', 'KTst')","('h', 'KTst')","('m', 'SKv31')",Cm,iax
0,0.0,0.0,-0.00075,-85.73559945926456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008747824762762015,-2.3172789090867222e-26
1,0.0,0.0,-0.00075,-85.73559945926456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008747824762762015,-2.3172789090867222e-26
2,2.5e-05,0.0,-0.0007499195389324456,-85.73559945926456,7.616509541034971e-08,4.94896490642718e-09,7.616509541034971e-08,7.68741625657831e-06,7.268967734948297e-09,9.54320185787394e-08,1.3779469243921372e-06,1.2216296164019681e-06,4.520570157460271e-10,0.00874688628366976,-2.3172789090867222e-26
3,5e-05,1.0,-0.0007496480021466554,-111.2437491543158,5.914165420038043e-07,1.1734552460759639e-08,5.914165420038043e-07,2.563589300603054e-05,1.776475358118801e-08,3.242925081344997e-07,3.2290296542117202e-06,7.238679001100572e-06,1.588679530234814e-09,0.006738787642861209,-2.631183067173231e-16
4,7.5e-05,1.0,-0.0007493767559571944,-111.20486727086207,1.1082623128072105e-06,1.85173406162162e-08,1.1082623128072105e-06,4.357149683799557e-05,2.827525888892973e-08,5.533283966836559e-07,5.082425634323915e-06,1.3255045831963797e-05,2.7277543851056022e-09,0.006738704647989327,-1.150161058822123e-15
5,9.999999999999999e-05,1.0,-0.000749105800052886,-111.1660269984651,1.6267003343104727e-06,2.529733246134964e-08,1.6267003343104727e-06,6.149424178482676e-05,3.8800467855896475e-08,7.825394963161642e-07,6.938132070812853e-06,1.9270730788024262e-05,3.8692788885627525e-09,0.006738621683972111,-2.0348378957709957e-15
6,0.00012499999999999998,1.0,-0.0007488351341228931,-111.12722829256694,2.1467285358032274e-06,3.207453086622451e-08,2.1467285358032274e-06,7.94041418633722e-05,4.934036469736975e-08,1.011925619322782e-06,8.796146173110263e-06,2.5285734547778366e-05,5.013250351996859e-09,0.006738538750839888,-2.9171535985728006e-15
7,0.00015,1.0,-0.0007485647578567167,-111.08847110865815,2.6683448493700893e-06,3.884893891765866e-08,2.6683448493700893e-06,9.730121107466493e-05,5.989493364559107e-08,1.2414865781950754e-06,1.0656465153987994e-05,3.1300057788799653e-05,6.1596660899892796e-09,0.006738455848622928,-3.797112939601328e-15
8,0.00017500000000000003,1.0,-0.0007482946709441958,-111.0497554022778,3.1915472098861675e-06,4.562055959280397e-08,3.1915472098861675e-06,0.00011518546340413924,7.046415895006781e-08,1.4712221856254253e-06,1.2519086229555351e-05,3.731370118803201e-05,7.3085234202986e-09,0.00673837297735144,-4.674720682580509e-15
9,0.00020000000000000004,1.0,-0.0007480248730755074,-111.01108112901332,3.7163335550123347e-06,5.238939586795663e-08,3.7163335550123347e-06,0.00013305691282184686,8.104802487776888e-08,1.7011322545070348e-06,1.438400661925646e-05,4.332666542169438e-05,8.459819663862636e-09,0.006738290137055581,-5.549981582615968e-15
10,0.00022500000000000008,1.0,-0.0007477553639411657,-110.97244824450055,4.242701825191019e-06,5.9155450718557055e-08,4.242701825191019e-06,0.00015091557328214718,9.164651571252177e-08,1.931216598037377e-06,1.6251223545862808e-05,4.9338951165379614e-05,9.613552144790047e-09,0.00673820732776545,-6.422900386209816e-15
11,0.00025000000000000006,1.0,-0.0007474861432320221,-110.93385670442363,4.7706499636407234e-06,6.591872711918978e-08,4.7706499636407234e-06,0.00016876145872392342,1.0225961575543528e-07,2.1614750294078755e-06,1.8120734235467408e-05,5.535055909376528e-05,1.0769718190362429e-08,0.0067381245495110875,-7.293481831272484e-15
12,0.00027500000000000007,1.0,-0.0007472172106392643,-110.89530646451493,5.300175916352097e-06,7.267922804358334e-08,5.300175916352097e-06,0.00018659458307048336,1.1288730932486745e-07,2.3919073622176758e-06,1.9992535917483792e-05,6.13614898810035e-05,1.1928315131020683e-08,0.006738041802322483,-8.161730647131594e-15
13,0.0003000000000000001,1.0,-0.0007469485658544165,-110.85679748055507,5.831277632082982e-06,7.943695646461026e-08,5.831277632082982e-06,0.0002044149602295651,1.23529580756163e-07,2.6225134100598967e-06,2.186662582463859e-05,6.737174420043183e-05,1.3089340300367118e-08,0.006737959086229562,-9.027651554558586e-15
14,0.00032500000000000015,1.0,-0.0007466802085693384,-110.81832970837274,6.363953062353991e-06,8.619191535428685e-08,6.363953062353991e-06,0.00022222260409344798,1.3418641440196552e-07,2.8532929869353844e-06,2.374300119296892e-05,7.338132272467205e-05,1.4252791035159702e-08,0.0067378764012622,-9.891249265769705e-15
15,0.00035000000000000016,1.0,-0.0007464121384762254,-110.77990310384476,6.898200161443835e-06,9.294410768377316e-08,6.898200161443835e-06,0.0002400175285390635,1.4485779463172298e-07,3.0842459068389797e-06,2.5621659261814994e-05,7.93902261257289e-05,1.5418664675308968e-08,0.00673779374745021,-1.0752528484455086e-14
16,0.00037500000000000017,1.0,-0.0007461443552676079,-110.74151762289597,7.434016886384659e-06,9.969353642337293e-08,7.434016886384659e-06,0.0002577997474276858,1.5554370583211635e-07,3.3153719841732543e-06,2.750259727381753e-05,8.539845507479806e-05,1.658695856387227e-08,0.006737711124823356,-1.1611493905774324e-14
17,0.0004000000000000002,1.0,-0.0007458768586363511,-110.70317322149921,7.971401196957912e-06,1.0644020443386698e-07,7.971401196957912e-06,0.00027556927460535764,1.6624413240691173e-07,3.5466710334382228e-06,2.93858124749136e-05,9.140601024246178e-05,1.7757670047048028e-08,0.006737628533411338,-1.2468150216395907e-14
18,0.0004250000000000002,1.0,-0.0007456096482756542,-110.66486985567525,8.510351055688915e-06,1.1318411479252448e-07,8.510351055688915e-06,0.0002933261239025812,1.7695905877681105e-07,3.778142869231359e-06,3.1271302114329206e-05,9.741289229840016e-05,1.8930796474175324e-08,0.0067375459732438026,-1.3322502094490814e-14
19,0.00045000000000000026,1.0,-0.0007453427238790505,-110.62660748149267,9.050864427843274e-06,1.1992527035843704e-07,9.050864427843274e-06,0.00031107030913453366,1.8768846937953507e-07,4.009787306454452e-06,3.315906344457675e-05,0.00010341910191178025,2.0106335197725497e-08,0.006737463444350338,-1.4174554209757662e-14
20,0.00047500000000000027,1.0,-0.000745076085140407,-110.58838605506793,9.592939281421732e-06,1.26663674098506e-07,9.592939281421732e-06,0.00032880184410086325,1.9843234866979043e-07,4.241604160313604e-06,3.504909372145093e-05,0.00010942463975106418,2.1284283573299078e-08,0.00673738094676048,-1.5024311223433538e-14
21,0.0005000000000000002,1.0,-0.0007448097317539237,-110.5502055325652,1.0136573587155819e-05,1.333993289787759e-07,1.0136573587155819e-05,0.0003465207425860097,2.0919068111935413e-07,4.4735932460089795e-06,3.6941390204022926e-05,0.00011542950648381751,2.246463895962546e-08,0.006737298480503704,-1.5871777788302898e-14
22,0.0005250000000000002,1.0,-0.0007445436634141334,-110.51206587019641,1.0681765318503237e-05,1.4013223796443445e-07,1.0681765318503237e-05,0.00036422701835900004,2.199634512168059e-07,4.70575437904507e-06,3.883595015463633e-05,0.00012143370277709806,2.364739871855449e-08,0.006737216045609428,-1.6716958548728606e-14
23,0.00055,1.0,-0.0007442778798159013,-110.47396702422112,1.1228512451643264e-05,1.468624040198123e-07,1.1228512451643264e-05,0.0003819206851735596,2.3075064346772993e-07,4.938087375127283e-06,4.073277083890135e-05,0.00012743722929716743,2.4832560215050723e-08,0.006737133642107017,-1.7559858140651946e-14
24,0.000575,1.0,-0.0007440123806544248,-110.43590895094648,1.1776812965472704e-05,1.5358982999980032e-07,1.1776812965472704e-05,0.0003996017567681173,2.4155224239468244e-07,5.170592050058534e-06,4.263184952569239e-05,0.00013344008670958956,2.602012081719587e-08,0.006737051270025774,-1.8400481191605435e-14
25,0.0005999999999999998,1.0,-0.0007437471656252327,-110.39789160672717,1.2326664841600766e-05,1.603145188670389e-07,1.2326664841600766e-05,0.0004172702468658117,2.523682325370409e-07,5.403268220049488e-06,4.45331834871423e-05,0.00013944227567923257,2.7210077896177645e-08,0.006736968929394952,-1.923883232073945e-14
26,0.0006249999999999998,1.0,-0.0007434822344241852,-110.35991494796542,1.2878066064345037e-05,1.6703647358331126e-07,1.2878066064345037e-05,0.0004349261691743916,2.631985984509701e-07,5.6361157013049245e-06,4.643676999863663e-05,0.00014544379687027052,2.8402428826286764e-08,0.006736886620243738,-2.007491613883111e-14
27,0.0006499999999999998,1.0,-0.0007432175867474736,-110.32197893111083,1.3431014620726647e-05,1.737556970009962e-07,1.3431014620726647e-05,0.0004525695373864317,2.7404332470962697e-07,5.869134310230571e-06,4.834260633881125e-05,0.00015144465094618515,2.959717098491949e-08,0.006736804342601274,-2.090873724829165e-14
28,0.0006749999999999996,1.0,-0.0007429532222916194,-110.28408351266044,1.3985508500465988e-05,1.8047219208018608e-07,1.3985508500465988e-05,0.0004702003651792333,2.8490239590300925e-07,6.1023238635365054e-06,5.0250689789546596e-05,0.00015744483856967116,3.0794301752563685e-08,0.0067367220964966315,-2.174030024319061e-14
29,0.0006999999999999996,1.0,-0.0007426891407534746,-110.24622864915858,1.4541545695978444e-05,1.8718596178011587e-07,1.4541545695978444e-05,0.0004878186662150398,2.95775796637803e-07,6.335684178133757e-06,5.2161017635963644e-05,0.00016344436040283117,3.199381851280137e-08,0.006736639881958837,-2.2573209374247628e-14
30,0.0007249999999999994,1.0,-0.0007424253418302206,-110.20841429719687,1.5099124202369586e-05,1.9389700895065158e-07,1.5099124202369586e-05,0.0005054244541406229,3.0666351153758846e-07,6.5692150710309166e-06,5.407358716641821e-05,0.00016944321710708085,3.319571865230306e-08,0.006736557699016854,-2.3404047486950767e-14
31,0.0007499999999999994,1.0,-0.0007421618252193686,-110.17064041341415,1.5658242017430922e-05,2.0060533654933683e-07,1.5658242017430922e-05,0.0005230177425878125,3.175655252425674e-07,6.802916359540938e-06,5.59883956724969e-05,0.00017544140934295767,3.439999956082207e-08,0.006736475547699589,-2.4232629198224083e-14
32,0.0007749999999999992,1.0,-0.0007418985906187586,-110.13290695449643,1.6218897141635374e-05,2.0731094753285756e-07,1.6218897141635374e-05,0.0005405985451730832,3.2848182241001094e-07,7.036787861074356e-06,5.790544044901312e-05,0.00018143893777050884,3.560665863118881e-08,0.006736393428035896,-2.505895909756171e-14
33,0.0007999999999999992,1.0,-0.0007416356377265591,-110.09521387717683,1.6781087578133064e-05,2.1401384474856628e-07,1.6781087578133064e-05,0.0005581668754978741,3.394123877136256e-07,7.270829393346072e-06,5.982471879400302e-05,0.00018743580304890703,3.6815693259313494e-08,0.006736311340054566,-2.5883041766121994e-14
34,0.0008249999999999991,1.0,-0.0007413729662412674,-110.05756113823556,1.7344811332746245e-05,2.2071403104299326e-07,1.7344811332746245e-05,0.0005757227471484899,3.5035720584400173e-07,7.5050407741685875e-06,6.174622800871987e-05,0.00019343200583683804,3.802710084417207e-08,0.006736229283784337,-2.670488177674425e-14
35,0.000849999999999999,1.0,-0.0007411105758617083,-110.01994869449979,1.7910066413965933e-05,2.2741150937029855e-07,1.7910066413965933e-05,0.0005932661736960017,3.6131626150833946e-07,7.739421821555396e-06,6.366996539763173e-05,0.00019942754679211673,3.924087878781176e-08,0.006736147259253889,-2.752448369395467e-14
36,0.0008749999999999989,1.0,-0.0007408484662870341,-109.98237650284368,1.847685083294631e-05,2.3410628268378427e-07,1.847685083294631e-05,0.0006107971686965669,3.7228953943053676e-07,7.97397235372099e-06,6.559592826841073e-05,0.0002054224265718818,4.045702449534259e-08,0.0067360652664918445,-2.8341852073995434e-14
37,0.0008999999999999988,1.0,-0.0007405866372167247,-109.94484452018828,1.904516260350166e-05,2.4079835382746616e-07,1.904516260350166e-05,0.0006283157456911207,3.8327702435115644e-07,8.20869218908087e-06,6.752411393193756e-05,0.00021141664583259747,4.1675535374931745e-08,0.00673598330552677,-2.9156991464824195e-14
38,0.0009249999999999987,1.0,-0.0007403250883505864,-109.90735270350152,1.9614999742100488e-05,2.474877256445375e-07,1.9614999742100488e-05,0.000645821918205591,3.942787010273936e-07,8.443581146354926e-06,6.945451970229071e-05,0.00021741020523005525,4.2896408837800725e-08,0.006735901376387174,-2.9969906406138734e-14
39,0.0009499999999999987,1.0,-0.0007400638193887523,-109.86990100979806,2.0186360267862776e-05,2.541744010857736e-07,2.0186360267862776e-05,0.0006633156997507996,4.052945542331648e-07,8.678639044257306e-06,7.138714289674426e-05,0.00022340310541937568,4.4119642298222505e-08,0.006735819479101508,-3.07806014293824e-14
