,t,stimstate,Qm,Vm,"('m', 'Ih')",Cm,iax
0,0.0,0.0,-0.00075,-42.86779972963229,0.0,0.017495649525524026,-7.703719777548943e-28
1,0.0,0.0,-0.00075,-42.86779972963229,0.0,0.017495649525524026,-7.703719777548943e-28
2,2.5e-05,0.0,-0.0007501204748155396,-42.86779972963229,1.4685080626368708e-09,0.017498459905723136,-7.703719777548943e-28
3,5e-05,1.0,-0.000750193069422579,-55.63624818658579,1.2093692832407297e-08,0.013483890339022801,2.2557235955793606e-16
4,7.5e-05,1.0,-0.0007502656445715993,-55.641438081123745,2.2724648080653525e-08,0.013483936980164528,3.660643373102106e-16
5,9.999999999999999e-05,1.0,-0.0007503382002678138,-55.64662658457947,3.336137225393176e-08,0.013483983600108185,5.064661302203549e-16
6,0.00012499999999999998,1.0,-0.0007504107365164345,-55.65181369732569,4.400386379824477e-08,0.013484030198866544,6.467780449824822e-16
7,0.00015,1.0,-0.000750483253322672,-55.656999419735016,5.465212116115733e-08,0.01348407677645237,7.870003808103628e-16
8,0.00017500000000000003,1.0,-0.0007505557506917357,-55.66218375217995,6.530614278967953e-08,0.01348412333287842,9.271334296239468e-16
9,0.00020000000000000004,1.0,-0.0007506282286288335,-55.66736669503293,7.596592713238508e-08,0.01348416986815743,1.0671774762343458e-15
10,0.00022500000000000008,1.0,-0.0007507006871391716,-55.67254824866626,8.663147263835293e-08,0.013484216382302135,1.2071327985235145e-15
11,0.00025000000000000006,1.0,-0.0007507731262279552,-55.677728413452165,9.730277775504375e-08,0.013484262875325257,1.3469996676174918e-15
12,0.00027500000000000007,1.0,-0.000750845545900388,-55.68290718976276,1.0797984093254456e-07,0.013484309347239508,1.4867783480587176e-15
13,0.0003000000000000001,1.0,-0.0007509179461616723,-55.68808457797006,1.1866266062144795e-07,0.013484355798057596,1.6264690979718169e-15
14,0.00032500000000000015,1.0,-0.0007509903270170088,-55.69326057844599,1.2935123527072434e-07,0.013484402227792205,1.7660721692253166e-15
15,0.00035000000000000016,1.0,-0.0007510626884715973,-55.698435191562346,1.4004556333091027e-07,0.013484448636456026,1.905587807589602e-15
16,0.00037500000000000017,1.0,-0.0007511350305306356,-55.70360841769088,1.5074564325304608e-07,0.01348449502406173,2.0450162528910223e-15
17,0.0004000000000000002,1.0,-0.0007512073531993205,-55.708780257203195,1.6145147348867594e-07,0.013484541390621971,2.1843577391624832e-15
18,0.0004250000000000002,1.0,-0.0007512796564828473,-55.71395071047081,1.7216305248984792e-07,0.013484587736149408,2.323612494789632e-15
19,0.00045000000000000026,1.0,-0.00075135194038641,-55.71911977786514,1.8288037870804673e-07,0.013484634060656687,2.4627807426525144e-15
20,0.00047500000000000027,1.0,-0.0007514242049152009,-55.72428745975751,1.9360345059632716e-07,0.013484680364156437,2.6018627002661202e-15
21,0.0005000000000000002,1.0,-0.0007514964500744115,-55.72945375651915,2.0433226660824824e-07,0.013484726646661283,2.7408585799160317e-15
22,0.0005250000000000002,1.0,-0.000751568675869231,-55.73461866852118,2.1506682519680377e-07,0.01348477290818383,2.879768588788923e-15
23,0.00055,1.0,-0.0007516408823048482,-55.7397821961346,2.2580712481548984e-07,0.01348481914873669,3.0185929291045118e-15
24,0.000575,1.0,-0.0007517130693864499,-55.74494433973035,2.3655316391830494e-07,0.013484865368332452,3.157331798237244e-15
25,0.0005999999999999998,1.0,-0.0007517852371192218,-55.75010509967925,2.473049409608216e-07,0.013484911566983702,3.2959853888425144e-15
26,0.0006249999999999998,1.0,-0.0007518573855083478,-55.75526447635203,2.580624543980446e-07,0.013484957744703006,3.4345538889733613e-15
27,0.0006499999999999998,1.0,-0.0007519295145590108,-55.760422470119316,2.6882570268548156e-07,0.013485003901502932,3.57303748219892e-15
28,0.0006749999999999996,1.0,-0.0007520016242763922,-55.7655790813516,2.7959468427914275e-07,0.013485050037396038,3.711436347717386e-15
29,0.0006999999999999996,1.0,-0.000752073714665672,-55.77073431041936,2.9036939763446697e-07,0.013485096152394859,3.849750660464646e-15
30,0.0007249999999999994,1.0,-0.0007521457857320289,-55.77588815769287,3.0114984120954385e-07,0.013485142246511934,3.987980591226249e-15
31,0.0007499999999999994,1.0,-0.0007522178374806401,-55.781040623542395,3.119360134608167e-07,0.013485188319759787,4.12612630673858e-15
32,0.0007749999999999992,1.0,-0.0007522898699166813,-55.786191708338045,3.227279128452298e-07,0.013485234372150927,4.264187969793563e-15
33,0.0007999999999999992,1.0,-0.0007523618830453271,-55.79134141244985,3.335255378223828e-07,0.013485280403697864,4.40216573933798e-15
34,0.0008249999999999991,1.0,-0.0007524338768717505,-55.79648973624774,3.4432888685022515e-07,0.01348532641441309,4.540059770571895e-15
35,0.000849999999999999,1.0,-0.0007525058514011233,-55.80163668010155,3.551379583872074e-07,0.013485372404309089,4.67787021504125e-15
36,0.0008749999999999989,1.0,-0.0007525778066386155,-55.80678224438101,3.6595275089228165e-07,0.013485418373398332,4.815597220733515e-15
37,0.0008999999999999988,1.0,-0.0007526497425893964,-55.81192642945575,3.7677326282598125e-07,0.013485464321693293,4.953240932165761e-15
38,0.0009249999999999987,1.0,-0.0007527216592586331,-55.81706923569529,3.8759949264718205e-07,0.013485510249206419,5.090801490473551e-15
39,0.0009499999999999987,1.0,-0.000752793556651492,-55.82221066346908,3.98431438817422e-07,0.013485556155950158,5.2282790334975434e-15
40,0.0009749999999999985,1.0,-0.0007528654347731379,-55.82735071314645,4.0926909979766085e-07,0.013485602041936948,5.365673695864923e-15
41,0.0009999999999999985,1.0,-0.000752937293628734,-55.832489385096636,4.201124740493602e-07,0.013485647907179212,5.502985609073042e-15
42,0.0010249999999999984,1.0,-0.0007530091332234424,-55.83762667968877,4.3096156003340024e-07,0.013485693751689369,5.640214901567898e-15
43,0.0010499999999999982,1.0,-0.0007530809535624235,-55.842762597291895,4.41816356212245e-07,0.013485739575479818,5.7773616988221646e-15
44,0.0010749999999999983,1.0,-0.0007531527546508368,-55.847897138274945,4.526768610488607e-07,0.013485785378562968,5.9144261234106504e-15
45,0.0010999999999999981,1.0,-0.00075322453649384,-55.85303030300676,4.6354307300671566e-07,0.013485831160951195,6.0514082950832735e-15
46,0.001124999999999998,1.0,-0.0007532962990965894,-55.85816209185609,4.7441499054760825e-07,0.01348587692265688,6.188308330838799e-15
47,0.001149999999999998,1.0,-0.0007533680424642403,-55.863292505191566,4.852926121370954e-07,0.013485922663692392,6.325126344991461e-15
48,0.0011749999999999979,1.0,-0.0007534397666019464,-55.86842154338174,4.961759362379762e-07,0.01348596838407009,6.461862449243532e-15
49,0.0011999999999999977,1.0,-0.0007535114715148597,-55.87354920679505,5.070649613157243e-07,0.013486014083802315,6.59851675274794e-15
50,0.0012249999999999976,1.0,-0.0007535831572081313,-55.87867549579984,5.179596858352271e-07,0.013486059762901412,6.735089362175965e-15
51,0.0012499999999999976,1.0,-0.0007536548236869109,-55.883800410764366,5.288601082618728e-07,0.013486105421379707,6.871580381778073e-15
52,0.0012749999999999975,1.0,-0.0007537264709563464,-55.88892395205677,5.397662270615501e-07,0.013486151059249522,7.007989913448499e-15
53,0.0012999999999999973,1.0,-0.0007537980990215847,-55.894046120045104,5.506780407006484e-07,0.013486196676523165,7.144318056781672e-15
54,0.0013249999999999974,1.0,-0.0007538697078877713,-55.89916691509731,5.615955476460584e-07,0.013486242273212937,7.280564909135261e-15
55,0.0013499999999999973,1.0,-0.0007539412975600501,-55.904286337581254,5.725187463651713e-07,0.013486287849331124,7.416730565682561e-15
56,0.001374999999999997,1.0,-0.0007540128680435637,-55.90940438786468,5.834476353247867e-07,0.013486333404890012,7.552815119472182e-15
57,0.001399999999999997,1.0,-0.0007540844193434534,-55.914521066315245,5.943822129932968e-07,0.013486378939901872,7.688818661479537e-15
58,0.001424999999999997,1.0,-0.0007541559514648592,-55.91963637330051,6.05322477839595e-07,0.01348642445437896,7.824741280661113e-15
59,0.0014499999999999969,1.0,-0.0007542274644129196,-55.92475030918793,6.162684283308859e-07,0.013486469948333534,7.960583064006758e-15
