,t,stimstate,Qm,Vm,"('m', 'CaHVA')","('h', 'CaHVA')","('m', 'Ih')","('m', 'NaTs2t')","('h', 'NaTs2t')","('m', 'CaLVAst')","('h', 'CaLVAst')","('m', 'SKv31')",Cm,iax
0,0.0,0.0,-0.00075,-42.86779972963229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017495649525524026,-2.886579864025407e-11
1,0.0,0.0,-0.00075,-42.86779972963229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017495649525524026,-2.886579864025407e-11
2,2.5e-05,0.0,-0.0007501673958465527,-42.86779972963229,3.404421761077583e-07,2.0762737196998156e-08,1.4685080626368708e-09,9.660693537070618e-06,3.921998990350004e-07,1.6820272676521752e-06,1.8036680830764294e-09,2.0980272010902502e-08,0.017499554457608445,-2.886579864025407e-11
3,5e-05,1.0,-0.0007502545208377414,-55.63960263965746,1.2817843199237489e-06,5.035186249098489e-08,1.2097430211008694e-08,2.139066554931545e-05,3.992051697890264e-06,4.215185099458242e-06,1.1249371610001407e-07,4.5799660473798914e-08,0.013484181864070197,-2.200486399972501
4,7.5e-05,1.0,-0.0007503414406871319,-55.64583133259114,2.222528005074101e-06,7.994537367796233e-08,2.273328021576216e-08,3.3115616535568696e-05,7.5933274081993375e-06,6.747240008253707e-06,2.2331413952537662e-07,7.060986559641363e-08,0.013484234536858564,-1.9366069519954898
5,9.999999999999999e-05,1.0,-0.00075042673029832,-55.652045359637896,3.1626745995299962e-06,1.0954326040483033e-07,3.337604173273976e-08,4.483555591909952e-05,1.1196023585620369e-05,9.278194569573418e-06,3.342646304023949e-07,9.541090819085361e-08,0.013484261457936875,-2.0452767513789993
6,0.00012499999999999998,1.0,-0.0007505106782259472,-55.658142838573326,4.102235005471108e-06,1.3914544056065937e-07,4.402558490465778e-08,5.655055741282966e-05,1.4800112974936556e-05,1.180806917851559e-05,4.453427434839751e-07,1.2020295320900133e-07,0.013484292503303097,-2.144769941190283
7,0.00015,1.0,-0.0007505936090667699,-55.66414439859043,5.041218194799774e-06,1.6875184657807825e-07,5.4681802858716406e-08,6.826068171354053e-05,1.8405573142559282e-05,1.433688062180284e-05,5.565464662894682e-07,1.44986136416745e-07,0.013484328505833946,-2.225744175730071
8,0.00017500000000000003,1.0,-0.0007506757595989378,-55.670073245585634,5.979630967950153e-06,1.9836242723720327e-07,6.534461457703013e-08,7.99659748750013e-05,2.2012387078610537e-05,1.686464162722707e-05,6.678742731578662e-07,1.6976056074823918e-07,0.01348436809643434,-2.294210541609054
9,0.00020000000000000004,1.0,-0.0007507572961448987,-55.675946307174854,6.917478541350731e-06,2.279771432482394e-07,7.601395790089478e-08,9.166647226927653e-05,2.562054172957689e-05,1.9391361961696308e-05,7.793249935345127e-07,1.9452630518870128e-07,0.013484410161667067,-2.3541139372418307
10,0.00022500000000000008,1.0,-0.000750838337229172,-55.68177547399294,7.854765018767513e-06,2.575959637274323e-07,8.668978392123414e-08,0.00010336220176498694,2.9230026821118727e-05,2.191704931232448e-05,8.908977063183167e-07,2.1928343190014233e-07,0.013484453949925913,-2.40773476678946
11,0.00025000000000000006,1.0,-0.0007509189692878075,-55.68756921953097,8.791493711061313e-06,2.8721886368729863e-07,9.737205316842774e-08,0.00011505318588356367,3.284083405926487e-05,2.444170988413513e-05,1.0025916681593407e-06,2.4403199105659235e-07,0.013484498961115404,-2.4564632785928353
12,0.00027500000000000007,1.0,-0.0007509992568104234,-55.693333723228456,9.727667350846717e-06,3.168458224866024e-07,1.0806073305884661e-07,0.00012673944324681442,3.645295659441524e-05,2.696534880121544e-05,1.1144062653445775e-06,2.687720240890826e-07,0.013484544856706939,-2.501207220924062
13,0.0003000000000000001,1.0,-0.0007510792489224638,-55.69907359554244,1.0663288239338553e-05,3.4647682280220535e-07,1.1875579614484979e-07,0.00013842098956704275,4.00663886545524e-05,2.948797038125614e-05,1.226340980885105e-06,2.9350356590559235e-07,0.013484591402298874,-2.542595626824351
14,0.00032500000000000015,1.0,-0.0007511589837518243,-55.7047923485227,1.15983583491011e-05,3.7611184978806043e-07,1.29457218892385e-07,0.00015009783834017085,4.368112528849267e-05,3.200957832762656e-05,1.338395371460647e-06,3.182266464452519e-07,0.013484638432042286,-2.581086129966881
15,0.00035000000000000016,1.0,-0.0007512384913964506,-55.71049270798822,1.2532879397645332e-05,4.057508904588312e-07,1.4016498080364066e-07,0.0001617700013419252,4.729716218219549e-05,3.4530175866883166e-05,1.4505690509408229e-06,3.4294129179046427e-07,0.013484685826315299,-2.617025312334764
16,0.00037500000000000017,1.0,-0.0007513177959869745,-55.71617682568512,1.3466852901144858e-05,4.353939333777809e-07,1.508790637787249e-07,0.00017343748899012451,5.0914495524494234e-05,3.7049765849223716e-05,1.5628616783321898e-06,3.6764752497949773e-07,0.013484733497374815,-2.650684685039373
17,0.0004000000000000002,1.0,-0.0007513969171492598,-55.721846426747504,1.4400280214353715e-05,4.6504096829920905e-07,1.615994516398417e-07,0.00018510031061388295,5.45331219075298e-05,3.956835082310475e-05,1.6752729488373694e-06,3.923453666097117e-07,0.013484781379903728,-2.6822831908490663
18,0.0004250000000000002,1.0,-0.0007514758710598125,-55.72750291425707,1.5333162560739908e-05,4.946919860377656e-07,1.7232612977293424e-07,0.00019675847465689598,5.815303825134749e-05,4.2085933091546616e-05,1.7878025870859122e-06,4.170348352933091e-07,0.013484829424638696,-2.7120018262194456
19,0.00045000000000000026,1.0,-0.0007515546712192923,-55.73314744469589,1.6265501055574e-05,5.243469781393261e-07,1.8305908485075882e-07,0.0002084119888330308,6.177424174631902e-05,4.460251475523119e-05,1.9004503419716472e-06,4.4171594800620423e-07,0.013484877593985903,-2.739993446088107
20,0.00047500000000000027,1.0,-0.0007516333290273113,-55.738780983245825,1.7197296723812813e-05,5.540059368444026e-07,1.937983046230391e-07,0.0002200608602470792,6.539672980839679e-05,4.7118097746068386e-05,2.0132159826410686e-06,4.6638872035878606e-07,0.013484925858949805,-2.7663895145080275
21,0.0005000000000000002,1.0,-0.0007517118542149376,-55.74440434488182,1.81285505141754e-05,5.836688549800468e-07,2.045437777470671e-07,0.00023170509548958127,6.902050004405395e-05,4.9632683853326406e-05,2.126099295334037e-06,4.910531668082455e-07,0.013484974196947466,-2.791304860771948
22,0.0005250000000000002,1.0,-0.0007517902551738637,-55.75001822529214,1.905926331029112e-05,6.133357258740042e-07,2.1529549365572075e-07,0.00024334470071208126,7.264555022232654e-05,5.214627474467344e-05,2.2391000808826674e-06,5.157093008275788e-07,0.013485022590231165,-2.8148411007644647
23,0.00055,1.0,-0.0007518685392095916,-55.75562322441115,1.9989435939664482e-05,6.43006543285805e-07,2.2605344244972744e-07,0.00025497968168757077,7.627187825260207e-05,5.465887198270943e-05,2.3522181527079776e-06,5.403571350409755e-07,0.01348507102473577,-2.837089146165983
24,0.000575,1.0,-0.000751946712738101,-55.76121986451986,2.091906918094032e-05,6.726813013002839e-07,2.3681761481112738e-07,0.000266610043859516,7.989948216622583e-05,5.7170477038776567e-05,2.4654533351927684e-06,5.649966813335911e-07,0.013485119489226866,-2.858131078029569
25,0.0005999999999999998,1.0,-0.0007520247814400532,-55.76680860430605,2.1848163769857516e-05,7.023599943829946e-07,2.4758800193356277e-07,0.0002782357923819667,8.352836010186192e-05,5.968109130390216e-05,2.5788054623306904e-06,5.896279509415499e-07,0.013485167974664869,-2.878041569411849
26,0.0006249999999999998,1.0,-0.0007521027503827684,-55.77238984988847,2.2776720404166253e-05,7.320426172411855e-07,2.583645954642258e-07,0.00028985693215275604,8.715851029305892e-05,6.219071609814367e-05,2.692274376645989e-06,6.142509545263912e-07,0.013485216473725707,-2.896888984602608
27,0.0006499999999999998,1.0,-0.0007521806241175364,-55.777963963537275,2.370473974773341e-05,7.617291648428339e-07,2.691473874522028e-07,0.000301473467841167,9.078993105802365e-05,6.469935267810934e-05,2.805859928260366e-06,6.388657022372138e-07,0.013485264980436465,-2.9147362417814016
28,0.0006749999999999996,1.0,-0.0007522584067578811,-55.7835312706308,2.4632222433991725e-05,7.914196324407204e-07,2.799363703105035e-07,0.0003130854039112246,9.442262079107635e-05,6.720700224347306e-05,2.919561974120296e-06,6.634722037627926e-07,0.013485313489896147,-2.9316414998459273
29,0.0006999999999999996,1.0,-0.0007523361020430009,-55.789092065250884,2.555916906887266e-05,8.211140153980432e-07,2.907315367791956e-07,0.00032469274464144666,9.805657795529236e-05,6.971366594252367e-05,3.03338037733994e-06,6.880704683754037e-07,0.013485361998059928,-2.947658714789192
30,0.0007249999999999994,1.0,-0.0007524137133895861,-55.79464661471831,2.6485580233295874e-05,8.508123093210165e-07,3.015328798957331e-07,0.0003362954941417547,0.00010169180107616847,7.221934487675734e-05,3.1473150066455813e-06,7.126605049695472e-07,0.013485410501571374,-2.962838095719178
31,0.0007499999999999994,1.0,-0.000752491243934451,-55.80019516329722,2.7411456485355452e-05,8.805145099916616e-07,3.123403929702886e-07,0.00034789365636796416,0.00010532828873637931,7.472404010496889e-05,3.261365735888507e-06,7.372423220939734e-07,0.013485458997630977,-2.9772264838912044
32,0.0007749999999999992,1.0,-0.0007525686965698602,-55.80573793524308,2.8336798362161595e-05,9.102206133027568e-07,3.231540695630469e-07,0.00035948723513448856,0.0001089660395709936,7.722775264659775e-05,3.375532443621266e-06,7.618159279800205e-07,0.013485507483892429,-2.990867672643116
33,0.0007999999999999992,1.0,-0.0007526460739730024,-55.81127513732811,2.9261606381489583e-05,9.39930615397202e-07,3.33973903463829e-07,0.0003710762341253345,0.00011260505226341286,7.973048348501358e-05,3.489815012735296e-06,7.863813305664802e-07,0.013485555958380389,-3.0038026798195894
34,0.0008249999999999991,1.0,-0.0007527233786307409,-55.816806960948426,3.0185881043229827e-05,9.696445124543503e-07,3.447998886767207e-07,0.0003826606569038118,0.0001162453255417681,8.223223357010448e-05,3.6042133301409073e-06,8.109385375215645e-07,0.01348560441942469,-3.0160699825532156
35,0.000849999999999999,1.0,-0.00075280061286054,-55.82233358389354,3.1109622830644484e-05,9.99362300781504e-07,3.5563201940385417e-07,0.0003942405069211202,0.00011988685817579995,8.473300382057145e-05,3.71872728647232e-06,8.354875562618565e-07,0.013485652865607649,-3.0277057219052494
36,0.0008749999999999989,1.0,-0.000752877778828259,-55.827855171842344,3.20328322114993e-05,1.0290839768558784e-06,3.6647029003120704e-07,0.0004058157875239991,0.00012352964897398592,8.723279512621966e-05,3.833356775845614e-06,8.60028393969286e-07,0.013485701295721365,-3.0387438827705893
37,0.0008999999999999988,1.0,-0.0007529548785633806,-55.833371879635294,3.295550963909436e-05,1.0588095372661436e-06,3.7731469511720164e-07,0.000417386501961569,0.00012717369678096223,8.973160834969469e-05,3.948101695620883e-06,8.84561057607078e-07,0.013485749708733138,-3.0492164531525923
38,0.0009249999999999987,1.0,-0.0007530319139721153,-55.83888385236308,3.387765555316227e-05,1.0885389786040262e-06,3.881652293816938e-07,0.00042895265339147235,0.00013081900047525006,9.222944432825934e-05,4.06296194620822e-06,9.090855539328263e-07,0.013485798103757175,-3.059153566695727
39,0.0009499999999999987,1.0,-0.0007531088868487451,-55.844391226303465,3.4799270380701007e-05,1.118272297711404e-06,3.9902188769839666e-07,0.0004405142448854479,0.00013446555896734795,9.472630387536541e-05,4.177937430865458e-06,9.336018895115089e-07,0.013485846480031474,-3.068583630707611
40,0.0009749999999999985,1.0,-0.0007531857988854916,-55.849894129732284,3.5720354536712776e-05,1.1480094913703995e-06,4.098846650818982e-07,0.0004520712794343805,0.00013811337119766309,9.722218778198159e-05,4.293028055557958e-06,9.581100707266752e-07,0.013485894836898629,-3.077533441957492
41,0.0009999999999999985,1.0,-0.0007532626516811503,-55.85539268362896,3.664090842489647e-05,1.1777505565516063e-06,4.2075355668213314e-07,0.0004636237599529067,0.00014176243613485471,9.97170968179505e-05,4.4082337287756534e-06,9.826101037905408e-07,0.013485943173790078,-3.0860282921163495
42,0.0010249999999999984,1.0,-0.0007533394467486792,-55.860887002293694,3.756093243826515e-05,1.2074954903079e-06,4.3162855777643933e-07,0.0004751716892836393,0.0001454127527744357,0.0001022110317330704,4.523554361407838e-06,1.0071019947535117e-06,0.013485991490212937,-3.094092063571363
43,0.0010499999999999982,1.0,-0.0007534161855219029,-55.86637719389006,3.8480426959725e-05,1.2372442896685716e-06,4.4250966376234554e-07,0.00048671507020100964,0.00014906432013706851,0.00010470399325822327,4.638989866620375e-06,1.0315857495132722e-06,0.013486039785738993,-3.101747318374759
44,0.0010749999999999983,1.0,-0.0007534928693614641,-55.871863360924294,3.939939236260762e-05,1.2669969518381312e-06,4.5339687015209493e-07,0.0004982539054148639,0.0001527171372674582,0.00010719598210634713,4.754540159728968e-06,1.0560613738222821e-06,0.013486088059995554,-3.1090153788393415
45,0.0010999999999999981,1.0,-0.0007535694995601262,-55.877345600670736,4.031782901114618e-05,1.29675347404038e-06,4.6429017256665755e-07,0.000509788197573767,0.00015637120323300834,0.00010968699897341482,4.870205158081916e-06,1.0805288732954128e-06,0.013486136312657639,-3.1159164029537223
46,0.001124999999999998,1.0,-0.0007536460773475233,-55.8828240055509,4.1235737260951264e-05,1.326513853565637e-06,4.7518956672916606e-07,0.0005213179492680534,0.0001600265171227801,0.00011217704453911107,4.985984780975913e-06,1.1049882534168974e-06,0.013486184543441521,-3.122469453649135
