,t,stimstate,Qm,Vm,"('m', 'CaHVA')","('h', 'CaHVA')","('m', 'Ih')","('m', 'NaTs2t')","('h', 'NaTs2t')","('m', 'CaLVAst')","('h', 'CaLVAst')","('m', 'SKv31')",Cm,iax
0,0.0,0.0,-0.00075,-42.86779972963228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01749564952552403,-4.241051954068098e-10
1,0.0,0.0,-0.00075,-42.86779972963228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01749564952552403,-4.241051954068098e-10
2,2.5e-05,0.0,-0.0007391186495042109,-42.86779972963228,3.4044217610775816e-07,2.0762737196998156e-08,1.4685080626368694e-09,9.66069353707062e-06,3.9219989903500023e-07,1.6820272676521752e-06,1.8036680830764302e-09,2.0980272010902502e-08,0.017241814466005742,-4.241051954068098e-10
3,5e-05,1.0,-0.0007301128700187997,-54.848483158544305,1.3606900320106127e-06,4.9805669737241456e-08,1.1280615261782484e-08,2.1905250121975718e-05,3.8098812783180704e-06,4.359779214503431e-06,9.753305002420047e-08,4.6970699411128204e-08,0.0133114505265049,517.0155525496712
4,7.5e-05,1.0,-0.000722498125289733,-54.20277390480403,2.4489451081167712e-06,7.8410627836313e-08,2.0469557952693516e-08,3.457995165484338e-05,7.080933984564637e-06,7.160024829945474e-06,1.8220499574396353e-07,7.395528353253897e-08,0.013329541520488446,711.7376902644689
5,9.999999999999999e-05,1.0,-0.0007172027022875972,-53.6560276029896,3.598133879785839e-06,1.0665158492997516e-07,2.9167051956955998e-08,4.762891585061258e-05,1.0229832720018475e-05,1.0067997328125386e-05,2.585036816688466e-07,1.0181782952597377e-07,0.01336667536393686,829.6543910036224
6,0.00012499999999999998,1.0,-0.0007124917836889214,-53.27552271510772,4.791053849322475e-06,1.3464179572290879e-07,3.7535514709940476e-08,6.094197938283667e-05,1.3294534655478944e-05,1.3052463908382859e-05,3.2933420238735033e-07,1.3030580702689723e-07,0.01337371737296676,850.5580961841686
7,0.00015,1.0,-0.0007089991862341343,-52.936795094953425,6.0239296348824836e-06,1.6241078078134026e-07,4.5621085092816004e-08,7.449309643354367e-05,1.6284918672993917e-05,1.6106203100187748e-05,3.9557387727405346e-07,1.593617455277039e-07,0.01339331527272086,881.9376041529003
8,0.00017500000000000003,1.0,-0.0007054001636515385,-52.6855691337342,7.286914442760078e-06,1.9001656865008415e-07,5.350105462672214e-08,8.822188105379829e-05,1.922048419501582e-05,1.9211839655832588e-05,4.5852478026143246e-07,1.8884413576975615e-07,0.013388868626644023,875.8161397167474
9,0.00020000000000000004,1.0,-0.000702832822748315,-52.426434212340325,8.582185285733996e-06,2.1745628102198725e-07,6.117976307794655e-08,0.00010213759974409789,2.2100295125181755e-05,2.237235294491146e-05,5.18381356475461e-07,2.1878005586354876e-07,0.013406077169041561,901.3027508097049
10,0.00022500000000000008,1.0,-0.0006998608310219933,-52.241581889833284,9.900482329963894e-06,2.4477752390889437e-07,6.871490061213176e-08,0.00011618631884971835,2.4940327157182016e-05,2.5572006474609377e-05,5.760305721199653e-07,2.490393743530604e-07,0.013396624024476429,884.5496624773807
11,0.00025000000000000006,1.0,-0.0006978030873000733,-52.02758052915306,1.124550815349055e-05,2.719617367022293e-07,7.608437678599208e-08,0.0001303894019717523,2.773435760679099e-05,2.881704606081058e-05,6.311392180741823e-07,2.796739292002137e-07,0.013412176391886362,907.5598174481714
12,0.00027500000000000007,1.0,-0.0006953183239258617,-51.879219108366634,1.2610027962896102e-05,2.9905264530267746e-07,8.334671687134278e-08,0.00014470196713660803,3.0497132978805667e-05,3.209455058008155e-05,6.846955731582287e-07,3.105794356381323e-07,0.013402636660229275,888.6718128069404
13,0.0003000000000000001,1.0,-0.0006936431476141313,-51.70006996525947,1.3998090841923299e-05,3.2603088779427545e-07,9.047969007529149e-08,0.00015914698657586114,3.3222172553160794e-05,3.541126069967397e-05,7.363775434736069e-07,3.4181220934940494e-07,0.013416677154987096,906.243480430704
14,0.00032500000000000015,1.0,-0.0006913622568390384,-51.5792913012166,1.540202028045852e-05,3.5293317254398334e-07,9.752544401395658e-08,0.00017368090095523005,3.5921764074897154e-05,3.875439564889909e-05,7.867957990645053e-07,3.732654751276368e-07,0.013403872744229257,884.4260078633304
15,0.00035000000000000016,1.0,-0.0006898597400672354,-51.41484118410692,1.682755984910731e-05,3.7973203518593336e-07,1.0445244492416637e-07,0.00018833629914441686,3.858671466368048e-05,4.2133517027884384e-05,8.354934570965418e-07,4.050191168352762e-07,0.013417521559523578,905.4538757697683
16,0.00037500000000000017,1.0,-0.0006877770135383646,-51.30649751027295,1.8267402059721928e-05,4.064628794245713e-07,1.1130172078210165e-07,0.00020307151662918188,4.122888447339896e-05,4.5536409680147864e-05,8.830710687541929e-07,4.369713224174382e-07,0.013405261456419884,884.7927462419602
17,0.0004000000000000002,1.0,-0.0006864439944989356,-51.15613285962248,1.97280621297183e-05,4.3310092869550157e-07,1.180500636793573e-07,0.0002179207941525288,4.384010731903336e-05,4.8973240423909765e-05,9.292769134544358e-07,4.692103443761712e-07,0.01341860606200641,904.6061634198787
18,0.0004250000000000002,1.0,-0.0006844311898850736,-51.05989413629722,2.1202039938738953e-05,4.596795852628497e-07,1.2473380293446494e-07,0.00023284262215856626,4.643151516780854e-05,5.2431784957657576e-05,9.746047347870287e-07,5.01632775662895e-07,0.013404477260726013,883.1135941628698
19,0.00045000000000000026,1.0,-0.000683185800923851,-50.91457757245861,2.2696136254624294e-05,4.861685621531571e-07,1.3131999759864049e-07,0.00024787463782278204,4.899301473939747e-05,5.592312681291838e-05,1.0186068436170788e-06,5.343323762392368e-07,0.013418274951836366,905.3501457907221
20,0.00047500000000000027,1.0,-0.000681374539968316,-50.8246653955682,2.420267369028402e-05,5.126020505937087e-07,1.378458351120169e-07,0.0002629743483416723,5.153600091137e-05,5.943475304275467e-05,1.0617886457797537e-06,5.672032959810697e-07,0.013406375323185707,883.9045798167878
21,0.0005000000000000002,1.0,-0.0006802769594648135,-50.69389948989574,2.5727313489978957e-05,5.389548389091375e-07,1.4428389452333476e-07,0.00027817308616729763,5.4052071788852895e-05,6.297588979502203e-05,1.1037774728058002e-06,6.003235836799456e-07,0.013419306194829334,900.6349399783376
22,0.0005250000000000002,1.0,-0.0006784932323331358,-50.61465850137316,2.7262915737397984e-05,5.652587241841258e-07,1.5066875938959845e-07,0.00029343133121133546,5.6551824350377044e-05,6.653490037059883e-05,1.1450433415650134e-06,6.335948003300187e-07,0.013405073795266809,878.0433140054655
23,0.00055,1.0,-0.0006774280337018755,-50.4857365659453,2.8817153076775318e-05,5.914843040693025e-07,1.5697224795300157e-07,0.00030878947768703415,5.902560056873415e-05,7.012372362919695e-05,1.1852639651247622e-06,6.67121136303416e-07,0.013418206404040631,899.0650046656513
24,0.000575,1.0,-0.0006757358355783811,-50.40873171785136,3.0382600158614803e-05,6.176632493828634e-07,1.6322769364871795e-07,0.0003242070309367372,6.148391414565005e-05,7.373042359802206e-05,1.224874575036544e-06,7.008006839762714e-07,0.013405134637400156,877.8851564799539
25,0.0005999999999999998,1.0,-0.0006747484114220346,-50.286400111688515,3.1965866182126346e-05,6.437681110479847e-07,1.6940682206072114e-07,0.0003397197114724659,6.391767597335885e-05,7.73655357912275e-05,1.2635161710280166e-06,7.34723899264755e-07,0.013418109268577307,896.5147025759323
26,0.0006249999999999998,1.0,-0.0006730319213894661,-50.215017700059065,3.355952215449641e-05,6.698297429906341e-07,1.755414149264842e-07,0.0003552873645724477,6.633710297406933e-05,8.101721727688352e-05,1.3015922887825226e-06,7.687891026474038e-07,0.013403000779758251,874.5507674235542
27,0.0006499999999999998,1.0,-0.0006720569552623976,-50.09092999441085,3.51712532659667e-05,6.958162278030321e-07,1.8159859514149767e-07,0.0003709515286845396,6.873162643867256e-05,8.46977185707329e-05,1.3386854875512172e-06,8.031014759411092e-07,0.013416739424430446,897.0979556095626
28,0.0006749999999999996,1.0,-0.0006705009022389709,-50.0204481928873,3.679324303405513e-05,7.217600282841958e-07,1.8761180169793839e-07,0.0003866699524015506,7.11119960280147e-05,8.839457928864877e-05,1.3752203451383554e-06,8.375540369687198e-07,0.013404536073995301,875.4829093300342
29,0.0006999999999999996,1.0,-0.000669637604983218,-49.90795872549724,3.8431616881754126e-05,7.476357053465001e-07,1.9355483057069221e-07,0.0004024757453815382,7.346978820071414e-05,9.211756334739625e-05,1.4108641492079046e-06,8.722306191401834e-07,0.013417451286003208,891.695482802557
30,0.0007249999999999994,1.0,-0.0006680807431086849,-49.84551582197621,4.0079271535969416e-05,7.734738630938466e-07,1.9946005894834715e-07,0.0004183300231394372,7.581518107704521e-05,9.585520170874637e-05,1.446041313635079e-06,9.070336861044218e-07,0.013403025971177476,868.7879960507439
31,0.0007499999999999994,1.0,-0.0006672138240138899,-49.73282260447252,4.174417488799247e-05,7.992450489559571e-07,2.052999594466174e-07,0.0004342742545630798,7.813856702756214e-05,9.961971440016851e-05,1.4804462202516323e-06,9.420712445168757e-07,0.01341596533380526,888.968208362555
32,0.0007749999999999992,1.0,-0.0006656710505081323,-49.67007079346993,4.341867461753747e-05,8.249789415921544e-07,2.1110347965182631e-07,0.0004502679967097509,8.044969005472028e-05,0.00010339918090361594,1.5144210631153323e-06,9.772391632825334e-07,0.01340185427308969,867.640287840643
33,0.0007999999999999992,1.0,-0.0006648328758629759,-49.5583973604652,4.511026689006933e-05,8.506464683524629e-07,2.1684226313598175e-07,0.00046635086641679576,8.27390054262374e-05,0.00010720527775531365,1.5476306385697114e-06,1.0126394449909635e-06,0.013415140748545287,887.7004912317354
34,0.0008249999999999991,1.0,-0.0006633422766911913,-49.4977262122164,4.681113673015261e-05,8.762779384007383e-07,2.2254587241991015e-07,0.0004824815588911241,8.501646412146984e-05,0.00011102583130361594,1.5804244097670039e-06,1.0481657459079366e-06,0.013401469672509391,865.9012473894823
35,0.000849999999999999,1.0,-0.0006625443569993988,-49.389829410692414,4.8528520534628666e-05,9.018452869459092e-07,2.281869340947745e-07,0.0004986983202748157,8.727285229927209e-05,0.00011487211321746497,1.6124787934953223e-06,1.0839165331684681e-06,0.01341459091688955,884.7082440610277
36,0.0008749999999999989,1.0,-0.000661032015927446,-49.33207211131439,5.0254735429614346e-05,9.273783103638004e-07,2.337945106022097e-07,0.0005149605417725187,8.951795259592473e-05,0.00011873215586381936,1.6441373412671706e-06,1.1197872613491221e-06,0.01339964018612219,862.6992635490716
37,0.0008999999999999988,1.0,-0.0006602371040514827,-49.22260152554874,5.199770556187885e-05,9.528462769843562e-07,2.393386273458788e-07,0.0005313101069271052,9.174167561046166e-05,0.0001226183019488937,1.675045721030293e-06,1.1558857553264672e-06,0.013413291528461576,883.9795395969996
38,0.0009249999999999987,1.0,-0.0006588281510834415,-49.16506194647653,5.374947343893508e-05,9.78280047892059e-07,2.4484938519811086e-07,0.0005477049531098279,9.395415350907558e-05,0.00012651815631880512,1.7055597595973235e-06,1.1921037335417048e-06,0.013400331963390463,862.1868916724518
39,0.0009499999999999987,1.0,-0.0006581002050846225,-49.062967383695735,5.551750952118614e-05,1.0036540877978174e-06,2.5030445228184425e-07,0.0005641830434326566,9.614717816111173e-05,0.00013044284942088005,1.7354542500660866e-06,1.2285420586784461e-06,0.013413379585012989,879.5618724095422
40,0.0009749999999999985,1.0,-0.0006566469936914921,-49.01020821112047,5.7294010316858544e-05,1.028997358264004e-06,2.5573110159759307e-07,0.000580703704525604,9.833019170432475e-05,0.0001343804176923568,1.765036900367669e-06,1.2650948442033363e-06,0.01339816780338628,857.1027263318709
41,0.0009999999999999985,1.0,-0.0006558980127445499,-48.90488414751839,5.9087428687819846e-05,1.0542792048488892e-06,2.6110102708229004e-07,0.0005973106758488741,0.00010049323852938818,0.00013834371413236585,1.7939971034277867e-06,1.3018766203199829e-06,0.013411707729765321,878.4861366725361
42,0.0010249999999999984,1.0,-0.0006545211644982658,-48.85060042990827,6.088955691889379e-05,1.0795293929034272e-06,2.6644171390156595e-07,0.0006139614836387239,0.00010264598575620141,0.00014232025805099367,1.8226364601395405e-06,1.3387761758097951e-06,0.013398426196160777,856.9457173825045
43,0.0010499999999999982,1.0,-0.0006538248562316976,-48.750810920310734,6.270771280754593e-05,1.1047213846763493e-06,2.7172865728859006e-07,0.0006306939959945144,0.00010477981475920502,0.00014632117627325222,1.8506860758538229e-06,1.3758926607957698e-06,0.013411568831141203,874.6459882055468
44,0.0010749999999999983,1.0,-0.0006523759620853968,-48.700344748285545,6.453396465139425e-05,1.12988394423647e-06,2.769884178184075e-07,0.0006474671652539112,0.00010690406745025218,0.0001503344080497305,1.8784374056032248e-06,1.4131186045721182e-06,0.01339571548122076,852.3713624258567
