,t,stimstate,Qm,Vm,"('m', 'CaHVA')","('h', 'CaHVA')","('m', 'Ih')","('m', 'NaTs2t')","('h', 'NaTs2t')","('m', 'CaLVAst')","('h', 'CaLVAst')","('m', 'SKv31')",Cm,iax
0,0.0,0.0,-0.00075,-42.86779972963228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01749564952552403,-1.1940765655200862e-28
1,0.0,0.0,-0.00075,-42.86779972963228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01749564952552403,-1.1940765655200862e-28
2,2.5e-05,0.0,-0.00075027512112308,-42.86779972963228,3.4044217610775816e-07,2.0762737196998156e-08,1.4685080626368694e-09,9.66069353707062e-06,3.9219989903500023e-07,1.6820272676521752e-06,1.8036680830764302e-09,2.0980272010902502e-08,0.017502067422519328,-1.1940765655200862e-28
3,5e-05,1.0,-0.000750444033229484,-55.64730407709268,1.2810636434524317e-06,5.0357287753375873e-08,1.2106010799318724e-08,2.1385806371594097e-05,3.99385161301151e-06,4.2138380800774e-06,1.1265527698036475e-07,4.578876486565846e-08,0.01348572128830956,-3.654955254111403e-17
4,7.5e-05,1.0,-0.0007506128640495805,-55.65937985040659,2.2205394969292132e-06,7.996034318811822e-08,2.2756955935677885e-08,3.310220912658401e-05,7.598293748354875e-06,6.743523298414775e-06,2.2375992106138958e-07,7.057980230636604e-08,0.013485828733036042,-5.931350680208305e-17
5,9.999999999999999e-05,1.0,-0.0007507816137988444,-55.67144981244359,3.158870271530197e-06,1.0957189936892131e-07,3.3421336987912896e-08,4.480990570232585e-05,1.1205524914240059e-05,9.271083959170972e-06,3.3511747783847967e-07,9.535339267228661e-08,0.013485936082645918,-8.206284793775759e-17
6,0.00012499999999999998,1.0,-0.0007509502826876204,-55.68351397860831,4.096056500866896e-06,1.3919195222503543e-07,4.4099147489797206e-08,5.650889999006785e-05,1.4815543723413718e-05,1.179652109618653e-05,4.4672782514994964e-07,1.2010954428116046e-07,0.013486043337281295,-1.0479762564197582e-16
7,0.00015,1.0,-0.0007511188709212518,-55.69557236393858,5.032098717198519e-06,1.6882049769654492e-07,5.479038099218734e-08,6.819919587227511e-05,1.8428348792122206e-05,1.4319835740569587e-05,5.5859084115192e-07,1.4484826542950313e-07,0.013486150497082988,-1.2751788839606443e-16
8,0.00017500000000000003,1.0,-0.0007512873787002066,-55.707624983114705,5.96699745148376e-06,1.984575316835806e-07,6.549503106254295e-08,7.98807972228475e-05,2.2043938740086816e-05,1.6841028920944778e-05,6.707064043055872e-07,1.6956956439343596e-07,0.013486257562190561,-1.502236834999961e-16
9,0.00020000000000000004,1.0,-0.0007514558062202007,-55.71967185046844,6.9007532333873636e-06,2.2810305014710057e-07,7.621309128339084e-08,9.155370790731581e-05,2.566231219039015e-05,1.9360101663279836e-05,7.830743933741573e-07,1.9427344942876627e-07,0.013486364532742365,-1.7291505710171015e-16
