,t,stimstate,Qm,Vm,"('m', 'CaHVA')","('h', 'CaHVA')","('m', 'Ih')","('m', 'NaTs2t')","('h', 'NaTs2t')","('m', 'CaLVAst')","('h', 'CaLVAst')","('m', 'SKv31')",Cm,iax
0,0.0,0.0,-0.00075,-85.73559945926456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008747824762762015,-1.4654943925052066e-10
1,0.0,0.0,-0.00075,-85.73559945926456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008747824762762015,-1.4654943925052066e-10
2,2.5e-05,0.0,-0.000749948475705363,-85.73559945926456,1.5646569556828923e-11,4.89361259530391e-08,3.335465939044451e-08,3.153413611536432e-08,9.78500305890191e-06,1.854008908257956e-09,4.614173178370877e-07,4.520570157460271e-10,0.008747223795428,-1.4654943925052066e-10
3,5e-05,1.0,-0.000749784514175053,-111.247892667427,8.049068024977923e-10,1.669393277296316e-07,1.098285897994791e-06,2.599391562233297e-07,2.9568676728494767e-05,2.2642433999515257e-08,1.1588431683562495e-06,1.5884122315065003e-09,0.0067397637492021215,0.9420120241809826
4,7.5e-05,1.0,-0.0007496312882375196,-111.22441469521101,1.5958242336426503e-09,2.8487099831150193e-07,2.1618433178061167e-06,4.887655709623828e-07,4.9343970883914014e-05,4.3483250057443915e-08,1.8561988032041185e-06,2.7262260634201377e-09,0.006739808793705403,2.7719603628417744
5,9.999999999999999e-05,1.0,-0.000749481715798719,-111.20247397352234,2.388207696927168e-09,4.0273582029833707e-07,3.224116778040329e-06,7.179820378977497e-07,6.911140826814531e-05,6.4373021353084e-08,2.5534887561187892e-06,3.865399335268446e-09,0.006739793540719003,3.163379433193114
6,0.00012499999999999998,1.0,-0.0007493340519482088,-111.18105640346307,3.1819935693274915e-09,5.205353873598684e-07,4.28513686186303e-06,9.475778493032665e-07,8.887116704577532e-05,8.531057853319086e-08,3.250714569994613e-06,5.005898293229697e-09,0.006739763734830536,3.4040899863629903
7,0.00015,1.0,-0.0007491876067257092,-111.15991212789409,3.977149668433232e-09,6.382705319676921e-07,5.3449195477841e-06,1.1775473821613177e-06,0.0001086233404807588,1.0629531064223462e-07,3.947877050858776e-06,6.147705302750763e-09,0.006739728310181981,3.6012986153721727
8,0.00017500000000000003,1.0,-0.0007490420253181531,-111.13894235005344,4.773656251336059e-09,7.559417855832547e-07,6.403475039588735e-06,1.4078870243273317e-06,0.00012836798826509522,1.273268275251349e-07,4.644976713374612e-06,7.2908091031694195e-09,0.006739690062542627,3.7737261965808955
9,0.00020000000000000004,1.0,-0.0007488970985191525,-111.1180962635641,5.571499977198488e-09,8.735495251420086e-07,7.460810571134256e-06,1.6385941979253349e-06,0.00014810515282577804,1.4840485257135258e-07,5.342013922245793e-06,8.435201711687793e-09,0.006739650189315902,3.928372174430983
10,0.00022500000000000008,1.0,-0.0007487526930925357,-111.09734391175414,6.370671283707521e-09,9.910940360700957e-07,8.516931625312935e-06,1.869666935024336e-06,0.00016783486640940113,1.6952917612110569e-07,6.038988953927918e-06,9.580877078277966e-09,0.0067396093077371705,4.069082817941272
11,0.00025000000000000006,1.0,-0.0007486087197803121,-111.0766662162756,7.171163017804815e-09,1.1085755458844123e-06,9.571842569890757e-06,2.1011036562323308e-06,0.00018755715477892514,1.906996311521659e-07,6.735902028621868e-06,1.072783038387261e-08,0.006739567771350897,4.198300110052067
12,0.00027500000000000007,1.0,-0.0007484651164423628,-111.05605039610215,7.97296964272092e-09,1.225994243027073e-06,1.0625547025430755e-05,2.3329030425185345e-06,0.000207272039353302,2.1191607920699465e-07,7.432753328784427e-06,1.1876057634083269e-08,0.006739525795963589,4.3176946554268625
13,0.0003000000000000001,1.0,-0.0007483218383931345,-111.0354875532687,8.776086748806085e-09,1.3433502889656023e-06,1.1678048092446826e-05,2.565063956171356e-06,0.000226979538527222,2.331784017145573e-07,8.12954301061206e-06,1.3025555408687037e-08,0.006739483519033777,4.428475990718717
14,0.00032500000000000015,1.0,-0.0007481788525521507,-111.01497128916343,9.580510738538533e-09,1.4606438255756068e-06,1.2729348497437234e-05,2.797585389919201e-06,0.0002466796685200965,2.5448649440376106e-07,8.826271211473752e-06,1.417632070037488e-08,0.006739441030916009,4.531563821945639
15,0.00035000000000000016,1.0,-0.0007480361337626973,-110.99449686692822,1.038623861700884e-08,1.5778749802964927e-06,1.3779450690069357e-05,3.0304664330998026e-06,0.0002663724439411352,2.758402635903268e-07,9.522938054733975e-06,1.5328350807537517e-08,0.006739398392512389,4.627687794913626
16,0.00037500000000000017,1.0,-0.0007478936624044552,-110.97406068432394,1.119326784881294e-08,1.6950438696152969e-06,1.4828356909301595e-05,3.2637062485596368e-06,0.0002860578781745449,2.9723962364073234e-07,1.0219543653225099e-05,1.6481643261058705e-08,0.006739355645747779,4.717447805897557
17,0.0004000000000000002,1.0,-0.0007477514228067523,-110.9536599318788,1.2001596258029872e-08,1.8121506015754446e-06,1.5876069229934053e-05,3.497304056511852e-06,0.0003057359836492915,3.1868449520011566e-07,1.0916088111366263e-05,1.7636195773176948e-08,0.006739312820017315,4.801351639951434
18,0.0004250000000000002,1.0,-0.0007476094021716176,-110.93329236567854,1.281122195684799e-08,1.9291952771638134e-06,1.6922589595593537e-05,3.731259123019906e-06,0.00032540677203092875,3.40174803929407e-07,1.1612571527029768e-05,1.879200620098195e-08,0.006739269936271351,4.87983918592505
19,0.00045000000000000026,1.0,-0.0007474675898292715,-110.9129561531567,1.3622143293642988e-08,2.046177992027505e-06,1.7967919842761512e-05,3.965570751620119e-06,0.0003450702543616742,3.6171047958492344e-07,1.2308993992671897e-05,1.9949072519884933e-08,0.006739227009666154,4.953298480416812
20,0.00047500000000000027,1.0,-0.0007473259767148602,-110.89264976648666,1.4434358814508909e-08,2.1630988369252337e-06,1.901206171861684e-05,4.200238277114896e-06,0.00036472644116387437,3.8329145533789475e-07,1.3005355596232319e-05,2.1107392803956022e-08,0.006739184051319448,5.022076651881591
21,0.0005000000000000002,1.0,-0.0007471845549950895,-110.87237190765426,1.5247867234247173e-08,2.279957898850216e-06,2.005501689448425e-05,4.4352610608916355e-06,0.00038437534251806735,4.049176672606712e-07,1.3701656421842331e-05,2.226696521108689e-08,0.006739141069494034,5.086487600562961
22,0.0005250000000000002,1.0,-0.0007470433177980219,-110.8521214549948,1.6062667414106887e-08,2.396755261318098e-06,2.1096786976145156e-05,4.670638487329898e-06,0.00040401696812294795,4.265890539323082e-07,1.4397896550278148e-05,2.342778797162706e-08,0.006739098070408299,5.146817540877535
23,0.00055,1.0,-0.000746902259014898,-110.8318974245021,1.6878758344411475e-08,2.5134910047372445e-06,2.2137373511718206e-05,4.9063699609968456e-06,0.00042365132734220004,4.483055561318133e-07,1.5094076059506568e-05,2.4589859379492726e-08,0.006739055058799137,5.203329111393984
24,0.000575,1.0,-0.0007467613731528903,-110.81169894145094,1.7696139130770683e-08,2.6301652070684677e-06,2.3176777998315466e-05,5.14245490441985e-06,0.0004432784292416683,4.7006711659285715e-07,1.579019502481847e-05,2.5753177785114534e-08,0.006739012038317842,5.256264505173469
25,0.0005999999999999998,1.0,-0.0007466206552243052,-110.79152521931266,1.8514808982955923e-08,2.746777943665779e-06,2.4215001887030938e-05,5.378892756289241e-06,0.0004628982826192399,4.918736798068299e-07,1.648625351924936e-05,2.691774158975379e-08,0.006738969011811724,5.305847914622852
26,0.0006249999999999998,1.0,-0.000746480100662174,-110.77137554388959,1.9334767205780516e-08,2.863329287817028e-06,2.525204658720043e-05,5.6156829699837456e-06,0.0004825108960293904,5.137251918619651e-07,1.718225161364744e-05,2.8083549240834e-08,0.006738925981526747,5.352287489071017
27,0.0006499999999999998,1.0,-0.0007463397052551362,-110.75124926122861,2.0156013191506572e-08,2.979819310874291e-06,2.6287913469839413e-05,5.8528250123421714e-06,0.0005021162778039623,5.356216003081789e-07,1.7878189377016195e-05,2.925059922805039e-08,0.00673888294925457,5.395776934213892
28,0.0006749999999999996,1.0,-0.0007461994650965839,-110.73114576829673,2.0978546413429535e-08,3.0962480821776514e-06,2.732260387089794e-05,6.0903183626250665e-06,0.0005217144360690822,5.575628540433655e-07,1.8574066876591086e-05,3.041889008008758e-08,0.006738839916440449,5.436496849071659
29,0.0006999999999999996,1.0,-0.000746059376544453,-110.71106450569911,2.1802366420382597e-08,3.212615669480701e-06,2.8356119093453673e-05,6.3281625116246155e-06,0.0005413053787603554,5.795489032153121e-07,1.926988417788161e-05,3.1588420361804306e-08,0.006738796884263071,5.4746158623864005
30,0.0007249999999999994,1.0,-0.0007459194361890328,-110.69100495192154,2.2627472831967328e-08,3.328922138968996e-06,2.9388460410126115e-05,6.566356960892149e-06,0.000560889113635434,6.015796991377523e-07,1.9965641344907194e-05,3.2759188671785155e-08,0.006738753853694089,5.510291612593754
31,0.0007499999999999994,1.0,-0.0007457796408268821,-110.67096661872081,2.3453865334366027e-08,3.4451675552763036e-06,3.041962906506612e-05,6.804901222058951e-06,0.0005804656482856271,6.236551942154282e-07,2.0661338440245133e-05,3.3931193640203476e-08,0.006738710825543001,5.543671607224354
32,0.0007749999999999992,1.0,-0.0007456399874394298,-110.65094904738996,2.4281543676625048e-08,3.5613519817010795e-06,3.144962627553819e-05,7.043794816233934e-06,0.0006000349901457282,6.457753418787808e-07,2.1356975525116067e-05,3.510443392690394e-08,0.0067386678004911155,5.574893982673856
33,0.0007999999999999992,1.0,-0.0007455004731752139,-110.6309518056938,2.5110507667323705e-08,3.6774754802193895e-06,3.247845323352599e-05,7.283037273463069e-06,0.0006195971465030614,6.679400965248419e-07,2.205255265939957e-05,3.6278908219702394e-08,0.006738624779117607,5.604088184849587
34,0.0008249999999999991,1.0,-0.0007453610953349625,-110.61097448532601,2.5940757171563733e-08,3.7935381113956208e-06,3.350611110720432e-05,7.522628132241105e-06,0.000639152124505767,6.901494134625041e-07,2.2748069901914026e-05,3.745461523284261e-08,0.006738581761919514,5.6313755806991495
