,t,stimstate,Qm,Vm,Cm,iax
0,0.0,0.0,-0.00075,-42.86779972963228,0.01749564952552403,300047.5306308715
1,0.0,0.0,-0.00075,-42.86779972963228,0.01749564952552403,300047.5306308715
2,2.5e-05,0.0,-0.0007976974429379615,-42.86779972963228,0.018608313185399034,300047.5306308715
3,5e-05,1.0,-0.0007808571348404143,-59.02783439529328,0.013228625831183765,205896.73626293798
4,7.5e-05,1.0,-0.0007641077919046768,-57.83018798624081,0.013212957081973802,168146.81761111025
5,9.999999999999999e-05,1.0,-0.0007537820456973613,-56.635788990090575,0.013309288334082335,163542.1789247883
6,0.00012499999999999998,1.0,-0.0007467560323582349,-55.89801923949025,0.013359257492807088,161469.22277089307
7,0.00015,1.0,-0.0007412218405692358,-55.395380230239965,0.013380571403039268,160064.8356482541
8,0.00017500000000000003,1.0,-0.0007369378096459832,-54.999154356968106,0.013399075281465977,158906.02716705698
9,0.00020000000000000004,1.0,-0.0007334557750219131,-54.69211818428922,0.013410630258467565,158025.48600274252
10,0.00022500000000000008,1.0,-0.0007305475031709952,-54.44245828730325,0.013418708966368794,157301.95018809265
11,0.00025000000000000006,1.0,-0.0007279594297837106,-54.233936853975685,0.013422581357937075,156693.91399825618
12,0.00027500000000000007,1.0,-0.0007257113182301849,-54.04816308413213,0.013427122714615342,156141.9118130661
13,0.0003000000000000001,1.0,-0.0007236774592444603,-53.886742986300916,0.013429601032454932,155667.3403922435
14,0.00032500000000000015,1.0,-0.000721863757405869,-53.74070676495076,0.013432345811214053,155232.7575641586
15,0.00035000000000000016,1.0,-0.0007201592563610174,-53.61047838381776,0.013433180939090378,154848.39371854864
16,0.00037500000000000017,1.0,-0.0007185975032248013,-53.48809089598076,0.013434719601831941,154480.91994568307
17,0.0004000000000000002,1.0,-0.0007170624834182622,-53.375812625058806,0.013434221385167571,154149.0518645356
18,0.0004250000000000002,1.0,-0.0007156368897821266,-53.26544060417421,0.013435294661320136,153814.0735664369
19,0.00045000000000000026,1.0,-0.000714276309451124,-53.16293661698771,0.013435606738527756,153509.04779817825
20,0.00047500000000000027,1.0,-0.0007130254512386242,-53.06510725995344,0.013436804108313223,153215.1910874913
21,0.0005000000000000002,1.0,-0.0007117784316565128,-52.97516721607546,0.01343607711049417,152949.40725954078
22,0.0005250000000000002,1.0,-0.0007106053539264843,-52.885503179967266,0.01343667567099291,152677.18000990196
23,0.00055,1.0,-0.0007094397873959197,-52.80115576036629,0.013436065502347218,152426.1696953268
24,0.000575,1.0,-0.0007083448962668439,-52.717293065664336,0.013436670494149499,152172.69085117182
25,0.0005999999999999998,1.0,-0.000707251891637086,-52.63845929339519,0.013436029494993758,151939.6928199982
26,0.0006249999999999998,1.0,-0.0007062256796385241,-52.55976135185262,0.013436622645807183,151702.00125046997
27,0.0006499999999999998,1.0,-0.0007051804104009502,-52.48587257803199,0.013435623259431229,151483.7906853111
28,0.0006749999999999996,1.0,-0.0007041898052278092,-52.41061165496248,0.013436015779852727,151255.20433535136
29,0.0006999999999999996,1.0,-0.0007031946765405581,-52.3392866249625,0.013435312589934674,151043.68897935355
30,0.0007249999999999994,1.0,-0.000702256862196979,-52.267635895290894,0.013435787752172842,150827.04861426586
31,0.0007499999999999994,1.0,-0.0007012950708507329,-52.20011188269351,0.013434742676925968,150627.62619733156
32,0.0007749999999999992,1.0,-0.0007003843768424938,-52.13086149062539,0.0134351199426935,150417.04298953302
33,0.0007999999999999992,1.0,-0.0006994552644310729,-52.0652901820762,0.013434195065177314,150222.68495508612
34,0.0008249999999999991,1.0,-0.0006985742446317182,-51.99833955273239,0.013434549076769699,150019.7091628695
35,0.000849999999999999,1.0,-0.0006976777503032001,-51.934818839350605,0.013433718763154232,149832.329485576
36,0.0008749999999999989,1.0,-0.0006968327519815717,-51.87018242671617,0.013434168136309894,149636.84674511402
37,0.0008999999999999988,1.0,-0.0006959377226106896,-51.80925882859097,0.013432690185998878,149457.56399669003
38,0.0009249999999999987,1.0,-0.0006950797796094382,-51.74472803804832,0.013432861780592225,149259.7223425817
39,0.0009499999999999987,1.0,-0.0006942244960637627,-51.682871140484494,0.013432390282202398,149075.93326419985
40,0.0009749999999999985,1.0,-0.0006934228265881222,-51.62120598721006,0.013432906367199716,148890.49020576067
41,0.0009999999999999985,1.0,-0.0006925910954739869,-51.563406358840325,0.013431833627400473,148720.84879490364
42,0.0010249999999999984,1.0,-0.0006918002322263453,-51.50343931411511,0.013432117183613977,148538.53703268844
43,0.0010499999999999982,1.0,-0.0006909757434135675,-51.44641880479804,0.01343097847170511,148370.1343502913
44,0.0010749999999999983,1.0,-0.0006901912907607883,-51.3869739233081,0.01343124994654981,148188.8743557454
45,0.0010999999999999981,1.0,-0.000689396689287184,-51.33041561195656,0.013430569011925174,148021.59725550277
46,0.001124999999999998,1.0,-0.0006886478160286168,-51.273067068104616,0.01343098541606463,147849.23089562432
47,0.001149999999999998,1.0,-0.0006878364775257939,-51.219001368962154,0.01342932230503446,147690.9209973866
48,0.0011749999999999979,1.0,-0.0006870614289447589,-51.160425925261265,0.0134295486505227,147510.64931484824
49,0.0011999999999999977,1.0,-0.0006862919510410854,-51.10447047095222,0.013429196011945251,147344.98812833137
50,0.0012249999999999976,1.0,-0.0006855742779146431,-51.04891719760343,0.013429751609830981,147178.7111416797
51,0.0012499999999999976,1.0,-0.0006847914272859798,-50.99710402508998,0.013428045383696111,147027.26889533046
52,0.0012749999999999975,1.0,-0.0006840491861373973,-50.940585293677714,0.013428373117304864,146852.8590437883
53,0.0012999999999999973,1.0,-0.0006833024229709295,-50.886998406749484,0.013427839023028298,146694.43066438794
54,0.0013249999999999974,1.0,-0.0006826141452522783,-50.83308504794408,0.013428540577626939,146532.22994503612
55,0.0013499999999999973,1.0,-0.0006818913118650491,-50.78339410807229,0.013427446586455295,146387.81694600865
56,0.001374999999999997,1.0,-0.000681197311322718,-50.73120838505845,0.013427579058482407,146229.09377985995
57,0.001399999999999997,1.0,-0.0006804335950358753,-50.681104279861586,0.01342578471215848,146080.9524796329
58,0.001424999999999997,1.0,-0.0006796955065279919,-50.62596697255056,0.013425827636961945,145909.84440137993
59,0.0014499999999999969,1.0,-0.0006789563044729826,-50.57265081745221,0.01342536516275869,145751.05455647022
60,0.0014749999999999967,1.0,-0.0006782689522132405,-50.5192127634722,0.013425960443779151,145590.7479108842
