,t,stimstate,Qm,Vm,"('m', 'CaHVA')","('h', 'CaHVA')","('m', 'Ih')","('m', 'NaTs2t')","('h', 'NaTs2t')","('m', 'CaLVAst')","('h', 'CaLVAst')","('m', 'SKv31')",Cm,iax
0,0.0,0.0,-0.00075,-42.86779972963228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01749564952552403,-4.1966430330830917e-10
1,0.0,0.0,-0.00075,-42.86779972963228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01749564952552403,-4.1966430330830917e-10
2,2.5e-05,0.0,-0.0007501673958465526,-42.86779972963228,1.5646569556828923e-11,4.89361259530391e-08,3.335465939044451e-08,3.153413611536432e-08,9.78500305890191e-06,1.854008908257956e-09,4.614173178370877e-07,4.520570157460271e-10,0.017499554457608445,-4.1966430330830917e-10
3,5e-05,1.0,-0.0007502545159833861,-55.639602639657454,8.015240108002016e-10,1.6703770558546886e-07,1.1001877239894555e-06,2.5935505583366457e-07,2.9579370402786062e-05,2.257949012923116e-08,1.1589426015130986e-06,1.5865089479268846e-09,0.013484181776823794,-2.2004864004521174
4,7.5e-05,1.0,-0.0007503414271475182,-55.64583098554618,1.5848292568133626e-09,2.851787737818435e-07,2.167784643065994e-06,4.868940100353872e-07,4.937759549337549e-05,4.328071528519086e-08,1.8565073373823477e-06,2.7201620735427618e-09,0.013484234377637684,-1.9363900875268847
5,9.999999999999999e-05,1.0,-0.0007504267052195647,-55.65204439167111,2.365566655084688e-09,4.0335923576487283e-07,3.2361435782809864e-06,7.141515925981235e-07,6.917966787964107e-05,6.395774246290373e-08,2.554111428402504e-06,3.853018176088366e-09,0.013484261241836312,-2.0447666651901564
6,0.00012499999999999998,1.0,-0.0007505106392534428,-55.658141045656464,3.143761538254276e-09,5.215783510959963e-07,4.305250180411283e-06,9.411320902441414e-07,8.898550746493191e-05,8.461102496700243e-08,3.2517541168826074e-06,4.98509118313217e-09,0.013484292237460782,-2.14393972881588
7,0.00015,1.0,-0.00075059355415899,-55.664141612389145,3.919435033559497e-09,6.398355102626895e-07,5.375092639551082e-06,1.1678390395827772e-06,0.0001087950482942511,1.0524093588284752e-07,3.94943477909488e-06,6.116392557728413e-09,0.013484328194363654,-2.22457824011979
8,0.00017500000000000003,1.0,-0.0007506756869300949,-55.67006932014821,4.692603520548436e-09,7.581302511515137e-07,6.4456620002168855e-06,1.3942751341928831e-06,0.00012860824030671292,1.2584775812634738e-07,4.647152942182465e-06,7.2469309925111855e-09,0.013484367741902722,-2.2926979226389754
9,0.00020000000000000004,1.0,-0.0007507572040463731,-55.67594111197308,5.463279915406051e-09,8.764622190993623e-07,7.516951389048464e-06,1.6204424527020408e-06,0.0001484250450346392,1.464317088421948e-07,5.344908243229658e-06,8.37671315929392e-09,0.013484409765727753,-2.352246168328964
10,0.00022500000000000008,1.0,-0.0007508382241513723,-55.68176888973477,6.231474703335984e-09,9.948311349420957e-07,8.58895539503961e-06,1.8463426417221132e-06,0.00016824543215402334,1.6699295897240563e-07,6.042700396558324e-06,9.505744310331382e-09,0.01348445351364894,-2.4055049274274154
11,0.00025000000000000006,1.0,-0.0007509188337740098,-55.68756113543383,6.997196639465299e-09,1.1132367732509368e-06,9.661669649632454e-06,2.071977039956502e-06,0.00018806937714496933,1.8753164653322654e-07,6.740529171590798e-06,1.0634028686205735e-08,0.013484498485177911,-2.4538654986150377
12,0.00027500000000000007,1.0,-0.0007509990974781402,-55.69332403514904,7.76045321962057e-09,1.231678947942922e-06,1.0735090544458653e-05,2.297346761524522e-06,0.00020789685972053988,2.0804788552649876e-07,7.438394377824782e-06,1.1761569789672433e-08,0.013484544341511586,-2.498236391312858
13,0.0003000000000000001,1.0,-0.0007510790644497712,-55.69906220464469,8.521251002436905e-09,1.3501575020413846e-06,1.1809215038219827e-05,2.522452752954937e-06,0.000227727862752233,2.2854177203656456e-07,8.136295854707793e-06,1.2888370572957302e-08,0.013484590848050931,-2.539247219193186
14,0.00032500000000000015,1.0,-0.0007511587728670925,-55.70477916030035,9.279595834936709e-09,1.46867230113632e-06,1.2884040521784715e-05,2.7472958330901543e-06,0.0002475623715180671,2.490133884969418e-07,8.834233464597701e-06,1.4014433568886086e-08,0.013484637838801952,-2.57735607589904
15,0.00035000000000000016,1.0,-0.0007512382528704651,-55.710477631530594,1.0035493014044227e-08,1.5872232278575608e-06,1.3959564721473534e-05,2.971876721652098e-06,0.00026740037316370517,2.694628067457948e-07,9.532207087543433e-06,1.5139760984749815e-08,0.013484685194034039,-2.6129099200233874
16,0.00037500000000000017,1.0,-0.0007513175286267871,-55.71615977311386,1.0788947404544002e-08,1.7058101786820683e-06,1.5035785628382739e-05,3.1961960601020015e-06,0.00028724185630957504,2.8989009025603034e-07,1.0230216617522268e-05,1.6264354770851555e-08,0.013484732825921351,-2.6461805790534143
17,0.0004000000000000002,1.0,-0.0007513966197933152,-55.72182731277702,1.1539963526752996e-08,1.8244330609859084e-06,1.611270144578682e-05,3.4202544271442294e-06,0.00030708681075855787,3.102952957947374e-07,1.0928261959781147e-05,1.738821667143859e-08,0.013484780669082971,-2.6773872672203325
18,0.0004250000000000002,1.0,-0.0007514755425740285,-55.72748165584608,1.2288545622709474e-08,1.9430917910084988e-06,1.719031054988152e-05,3.6440523504312454e-06,0.00032693522727530766,3.306784746725241e-07,1.1626343028641396e-05,1.8511348263164532e-08,0.013484828674205758,-2.7067112180700903
19,0.00045000000000000026,1.0,-0.0007515543104938673,-55.73312396076719,1.3034697706852738e-08,2.0617862923968825e-06,1.826861145908364e-05,3.867590315527421e-06,0.00034678709741740226,3.5103967370350976e-07,1.2324459745983483e-05,1.9633750984533386e-08,0.0134848768036566,-2.7343054966055824
20,0.00047500000000000027,1.0,-0.0007516329349740926,-55.73875519445807,1.3778423605331763e-08,2.1805164949050615e-06,1.9347602810586017e-05,4.090868772863517e-06,0.00036664241340423476,3.713789359482295e-07,1.302261203993736e-05,2.0755426158743606e-08,0.01348492502840869,-2.7603017550670295
21,0.0005000000000000002,1.0,-0.0007517114257652287,-55.744376173441395,1.4519726986861347e-08,2.2992823335386413e-06,2.04272833420005e-05,4.313888143198368e-06,0.0003865011680141521,3.916963012963989e-07,1.3720799843973472e-05,2.1876375011636036e-08,0.013484973325854003,-2.784814993226359
22,0.0005250000000000002,1.0,-0.0007517897912765782,-55.749987594796366,1.5258611387215827e-08,2.4180837476281327e-06,2.1507651876588156e-05,4.53664882195611e-06,0.00040636335450284133,4.119918069325981e-07,1.4419023096072872e-05,2.299659868593197e-08,0.01348502167822454,-2.8079469823238945
23,0.00055,1.0,-0.0007518680388296826,-55.75559005971632,1.5995080228879374e-08,2.5369206803305295e-06,2.2588707311447264e-05,4.759151182709131e-06,0.00042622896653738383,4.3226548770760225e-07,1.5117281738071181e-05,2.4116098252677165e-08,0.013485070071438645,-2.829788776852471
24,0.000575,1.0,-0.0007519461748552153,-55.76118409162897,1.6729136836970193e-08,2.6557930782498414e-06,2.367044860810696e-05,4.9813955800023445e-06,0.000446097998143366,4.525173764400246e-07,1.58155757152347e-05,2.523487472051587e-08,0.013485118494248396,-2.8504225892933555
25,0.0005999999999999998,1.0,-0.0007520242050473671,-55.76677015027255,1.7460784452269388e-08,2.7747008906657657e-06,2.4752874784435797e-05,5.203382351666773e-06,0.00046597044366104037,4.7274750416336115e-07,1.6513904975806806e-05,2.6352929043286353e-08,0.013485166937603104,-2.86992321473889
26,0.0006249999999999998,1.0,-0.0007521021344859722,-55.77234864273308,1.8190026241980135e-08,2.8936440696854273e-06,2.583598490850862e-05,5.425111820732445e-06,0.00048584629770942147,4.929559003308162e-07,1.7212269470717503e-05,2.7470262126301286e-08,0.013485215394169494,-2.888359131063556
27,0.0006499999999999998,1.0,-0.0007521799677339437,-55.77791993217531,1.8916865308690748e-08,3.012622569592567e-06,2.6919778092815847e-05,5.646584297023775e-06,0.0005057255551563965,5.131425929862593e-07,1.7910669153211133e-05,2.858687483158977e-08,0.013485263857967052,-2.9057933619891507
28,0.0006749999999999996,1.0,-0.0007522577089156398,-55.78348434480859,1.9641304697905433e-08,3.1316363467103546e-06,2.8004253490102083e-05,5.8678000785024875e-06,0.0005256082110929782,5.333076089069794e-07,1.8609103978597584e-05,2.9702767982305565e-08,0.013485312324088403,-2.9222841657228216
29,0.0006999999999999996,1.0,-0.0007523353617803938,-55.78904217548933,2.0363347404422812e-08,3.2506853592696487e-06,2.9089410289339628e-05,6.088759452406801e-06,0.0005454942608122327,5.534509737247129e-07,1.9307573904225006e-05,3.081794236646143e-08,0.013485360788483461,-2.937885590796885
30,0.0007249999999999994,1.0,-0.0007524129297544018,-55.794593692262794,2.1082996377780757e-08,3.369769567281663e-06,3.0175247712303718e-05,6.309462696225755e-06,0.0005653836997908533,5.735727120320008e-07,2.000607888910731e-05,3.193239874013511e-08,0.013485409247791354,-2.952647933180952
31,0.0007499999999999994,1.0,-0.0007524904159834218,-55.80013914007279,2.1800254526939092e-08,3.4888889321100074e-06,3.126176501097162e-05,6.529910078538799e-06,0.0005852765236733087,5.936728474694397e-07,2.0704618893810356e-05,3.304613783021643e-08,0.013485457699208888,-2.9666181159782035
32,0.0007749999999999992,1.0,-0.0007525678233681505,-55.80567874381414,2.2515124724335007e-08,3.608043416856915e-06,3.234896146495644e-05,6.750101859744427e-06,0.0006051727282580809,6.137514028046307e-07,2.140319388042354e-05,3.4159160336806075e-08,0.013485506140386653,-2.979840009602608
