,t,stimstate,Qm,Vm,"('m', 'CaHVA')","('h', 'CaHVA')","('m', 'Ih')","('m', 'NaTs2t')","('h', 'NaTs2t')","('m', 'CaLVAst')","('h', 'CaLVAst')","('m', 'SKv31')",Cm,iax
0,0.0,0.0,-0.00075,-42.86779972963229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017495649525524026,-2.580746125478896e-28
1,0.0,0.0,-0.00075,-42.86779972963229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017495649525524026,-2.580746125478896e-28
2,2.5e-05,0.0,-0.00075027512112308,-42.86779972963229,3.404421761077583e-07,2.0762737196998156e-08,1.4685080626368708e-09,9.660693537070618e-06,3.921998990350004e-07,1.6820272676521752e-06,1.8036680830764294e-09,2.0980272010902502e-08,0.017502067422519325,-2.580746125478896e-28
3,5e-05,1.0,-0.000750444033229484,-55.64730407709268,1.281063643452426e-06,5.0357287753375873e-08,1.2106010799318791e-08,2.1385806371594097e-05,3.99385161301151e-06,4.2138380800774e-06,1.1265527698036475e-07,4.5788764865658465e-08,0.01348572128830956,-3.654955254127966e-17
4,7.5e-05,1.0,-0.0007506128640495805,-55.65937985040659,2.2205394969292014e-06,7.996034318811822e-08,2.2756955935678018e-08,3.310220912658401e-05,7.598293748354875e-06,6.743523298414775e-06,2.2375992106138958e-07,7.057980230636606e-08,0.013485828733036042,-5.931349544525551e-17
5,9.999999999999999e-05,1.0,-0.0007507816137988444,-55.67144981244359,3.1588702715301793e-06,1.0957189936892131e-07,3.3421336987913095e-08,4.480990570232585e-05,1.1205524914240059e-05,9.271083959170972e-06,3.3511747783847967e-07,9.535339267228662e-08,0.013485936082645918,-8.206281140463454e-17
6,0.00012499999999999998,1.0,-0.0007509502826876204,-55.68351397860831,4.096056500866872e-06,1.3919195222503543e-07,4.4099147489797464e-08,5.650889999006785e-05,1.481554372341372e-05,1.179652109618653e-05,4.467278251499497e-07,1.2010954428116049e-07,0.013486043337281295,-1.047975501266787e-16
7,0.00015,1.0,-0.0007511188709212518,-55.69557236393858,5.0320987171984894e-06,1.6882049769654492e-07,5.479038099218766e-08,6.819919587227511e-05,1.8428348792122206e-05,1.4319835740569587e-05,5.585908411519201e-07,1.4484826542950318e-07,0.013486150497082988,-1.2751776010649273e-16
8,0.00017500000000000003,1.0,-0.0007512873787002066,-55.707624983114705,5.966997451483724e-06,1.984575316835806e-07,6.549503106254332e-08,7.98807972228475e-05,2.2043938740086816e-05,1.6841028920944778e-05,6.707064043055873e-07,1.6956956439343601e-07,0.013486257562190561,-1.5022348865747312e-16
9,0.00020000000000000004,1.0,-0.0007514558062202007,-55.71967185046844,6.900753233387322e-06,2.2810305014710057e-07,7.621309128339127e-08,9.155370790731581e-05,2.566231219039015e-05,1.9360101663279836e-05,7.830743933741574e-07,1.9427344942876633e-07,0.013486364532742365,-1.7291478194108299e-16
10,0.00022500000000000008,1.0,-0.0007516241536723175,-55.73171297999179,7.83336659134139e-06,2.57757049058145e-07,8.694455525293087e-08,0.00010321793178308573,2.9283467769364073e-05,2.1877054991185058e-05,8.95694687420027e-07,2.1895992877141948e-07,0.013486471408875548,-1.955916849960184e-16
11,0.00025000000000000006,1.0,-0.0007517924212431253,-55.74374838534559,8.764838052549233e-06,2.874195243975981e-07,9.768941658458778e-08,0.00011487347269963253,3.290740410657025e-05,2.439188992584339e-05,1.0085671657830673e-06,2.4362901063840415e-07,0.013486578190726102,-2.1825424176630766e-16
12,0.00027500000000000007,1.0,-0.0007519606091147908,-55.75577807986788,9.695168143031407e-06,3.170904721053664e-07,1.0844766890765071e-07,0.00012652033449868835,3.653411983464592e-05,2.6904607486044984e-05,1.1216917080876978e-06,2.6828070322802955e-07,0.013486684878428884,-2.409024951293412e-16
13,0.0003000000000000001,1.0,-0.0007521287174651906,-55.76780207658203,1.062435738765178e-05,3.4676988818130226e-07,1.1921930586470486e-07,0.0001381585210144502,4.016361358933326e-05,2.9415208688273444e-05,1.2350681942358846e-06,2.9291501472010916e-07,0.013486791472117633,-2.635364869224997e-16
14,0.00032500000000000015,1.0,-0.0007522967464680191,-55.77982038820469,1.1552406310142346e-05,3.76457768634423e-07,1.3000432111336152e-07,0.00014978803607379462,4.379588400937383e-05,3.1923694546738664e-05,1.3486965043954908e-06,3.175319532766979e-07,0.013486897971925009,-2.861562579695045e-16
15,0.00035000000000000016,1.0,-0.0007524646962928943,-55.79183302715352,1.2479315433139115e-05,4.0615410948269623e-07,1.4080270832478236e-07,0.0001614088834964301,4.743092973631327e-05,3.443006607356624e-05,1.4625765189887392e-06,3.4213152704245e-07,0.01348700437798261,-3.087618481059901e-16
16,0.00037500000000000017,1.0,-0.0007526325671054608,-55.803840005554775,1.3405085278198309e-05,4.358589067021817e-07,1.5161446118328403e-07,0.00017302106709511216,5.106874941467215e-05,3.6934324278671206e-05,1.5767081187049926e-06,3.667137441447811e-07,0.013487110690421,-3.313532962044604e-16
17,0.0004000000000000002,1.0,-0.0007528003590674902,-55.815841335250624,1.4329716365835964e-05,4.655721563280946e-07,1.6243957338703247e-07,0.0001846245906757827,5.470934169166234e-05,3.9436470169840974e-05,1.6910911844702394e-06,3.912786126947458e-07,0.01348721690936973,-3.5393064019874423e-16
18,0.0004250000000000002,1.0,-0.0007529680723369789,-55.82783702780637,1.5253209215541816e-05,4.952938543533095e-07,1.7327803864659065e-07,0.00019621945803775844,5.8352705217224e-05,4.193650475286984e-05,1.805725597460236e-06,4.1582614078699177e-07,0.013487323034957371,-3.7649391710754546e-16
19,0.00045000000000000026,1.0,-0.0007531357070682428,-55.83982709451736,1.617556434580438e-05,5.250239968801852e-07,1.841298506856344e-07,0.00020780567297392673,6.199883864397279e-05,4.4434429031535466e-05,1.920611239084769e-06,4.40356336500429e-07,0.01348742906731152,-3.99043163057639e-16
