1,32,500,10,50
1,32,500,10,100
1,32,500,100,50
1,32,500,100,100
1,32,500,1000,50
1,32,500,1000,100
1,32,1000,10,50
1,32,1000,10,100
1,32,1000,100,50
1,32,1000,100,100
1,32,1000,1000,50
1,32,1000,1000,100
1,64,500,10,50
1,64,500,10,100
1,64,500,100,50
1,64,500,100,100
1,64,500,1000,50
1,64,500,1000,100
1,64,1000,10,50
1,64,1000,10,100
1,64,1000,100,50
1,64,1000,100,100
1,64,1000,1000,50
1,64,1000,1000,100
2,32,500,10,50
2,32,500,10,100
2,32,500,100,50
2,32,500,100,100
2,32,500,1000,50
2,32,500,1000,100
2,32,1000,10,50
2,32,1000,10,100
2,32,1000,100,50
2,32,1000,100,100
2,32,1000,1000,50
2,32,1000,1000,100
2,64,500,10,50
2,64,500,10,100
2,64,500,100,50
2,64,500,100,100
2,64,500,1000,50
2,64,500,1000,100
2,64,1000,10,50
2,64,1000,10,100
2,64,1000,100,50
2,64,1000,100,100
2,64,1000,1000,50
2,64,1000,1000,100
3,32,500,10,50
3,32,500,10,100
3,32,500,100,50
3,32,500,100,100
3,32,500,1000,50
3,32,500,1000,100
3,32,1000,10,50
3,32,1000,10,100
3,32,1000,100,50
3,32,1000,100,100
3,32,1000,1000,50
3,32,1000,1000,100
3,64,500,10,50
3,64,500,10,100
3,64,500,100,50
3,64,500,100,100
3,64,500,1000,50
3,64,500,1000,100
3,64,1000,10,50
3,64,1000,10,100
3,64,1000,100,50
3,64,1000,100,100
3,64,1000,1000,50
3,64,1000,1000,100
4,32,500,10,50
4,32,500,10,100
4,32,500,100,50
4,32,500,100,100
4,32,500,1000,50
4,32,500,1000,100
4,32,1000,10,50
4,32,1000,10,100
4,32,1000,100,50
4,32,1000,100,100
4,32,1000,1000,50
4,32,1000,1000,100
4,64,500,10,50
4,64,500,10,100
4,64,500,100,50
4,64,500,100,100
4,64,500,1000,50
4,64,500,1000,100
4,64,1000,10,50
4,64,1000,10,100
4,64,1000,100,50
4,64,1000,100,100
4,64,1000,1000,50
4,64,1000,1000,100
5,32,500,10,50
5,32,500,10,100
5,32,500,100,50
5,32,500,100,100
5,32,500,1000,50
5,32,500,1000,100
5,32,1000,10,50
5,32,1000,10,100
5,32,1000,100,50
5,32,1000,100,100
5,32,1000,1000,50
5,32,1000,1000,100
5,64,500,10,50
5,64,500,10,100
5,64,500,100,50
5,64,500,100,100
5,64,500,1000,50
5,64,500,1000,100
5,64,1000,10,50
5,64,1000,10,100
5,64,1000,100,50
5,64,1000,100,100
5,64,1000,1000,50
5,64,1000,1000,100
6,32,500,10,50
6,32,500,10,100
6,32,500,100,50
6,32,500,100,100
6,32,500,1000,50
6,32,500,1000,100
6,32,1000,10,50
6,32,1000,10,100
6,32,1000,100,50
6,32,1000,100,100
6,32,1000,1000,50
6,32,1000,1000,100
6,64,500,10,50
6,64,500,10,100
6,64,500,100,50
6,64,500,100,100
6,64,500,1000,50
6,64,500,1000,100
6,64,1000,10,50
6,64,1000,10,100
6,64,1000,100,50
6,64,1000,100,100
6,64,1000,1000,50
6,64,1000,1000,100
7,32,500,10,50
7,32,500,10,100
7,32,500,100,50
7,32,500,100,100
7,32,500,1000,50
7,32,500,1000,100
7,32,1000,10,50
7,32,1000,10,100
7,32,1000,100,50
7,32,1000,100,100
7,32,1000,1000,50
7,32,1000,1000,100
7,64,500,10,50
7,64,500,10,100
7,64,500,100,50
7,64,500,100,100
7,64,500,1000,50
7,64,500,1000,100
7,64,1000,10,50
7,64,1000,10,100
7,64,1000,100,50
7,64,1000,100,100
7,64,1000,1000,50
7,64,1000,1000,100
8,32,500,10,50
8,32,500,10,100
8,32,500,100,50
8,32,500,100,100
8,32,500,1000,50
8,32,500,1000,100
8,32,1000,10,50
8,32,1000,10,100
8,32,1000,100,50
8,32,1000,100,100
8,32,1000,1000,50
8,32,1000,1000,100
8,64,500,10,50
8,64,500,10,100
8,64,500,100,50
8,64,500,100,100
8,64,500,1000,50
8,64,500,1000,100
8,64,1000,10,50
8,64,1000,10,100
