,t,stimstate,Qm,Vm,"('m', 'CaHVA')","('h', 'CaHVA')","('m', 'Ih')","('m', 'NaTs2t')","('h', 'NaTs2t')","('m', 'CaLVAst')","('h', 'CaLVAst')","('m', 'SKv31')",Cm,iax
0,0.0,0.0,-0.00075,-85.73559945926456,3.540798467948084e-07,0.8026642920830088,0.0843878856833029,0.00018925837783218753,0.9864705752979879,0.0004890288568106367,0.33932300588798725,2.1092822561138442e-05,0.008747824762762015,
1,0.0,0.0,-0.00075,-85.73559945926456,3.540798467948084e-07,0.8026642920830088,0.0843878856833029,0.00018925837783218753,0.9864705752979879,0.0004890288568106367,0.33932300588798725,2.1092822561138442e-05,0.008747824762762015,
2,2.5e-05,0.0,-0.0005954889759857174,-85.73559945926456,3.540798467948084e-07,0.8026642920830088,0.0843878856833029,0.00018925837783218753,0.9864705752979879,0.0004890288568106367,0.33932300588798725,2.1092822561138442e-05,0.006945644280106203,
3,5e-05,1.0,-0.0005482771389505796,-88.91324024391926,3.7187913996497103e-07,0.8026642908185958,0.08438804751725971,0.0001905881226586879,0.986468998903428,0.0004892094202469665,0.3393231169761588,2.1096097042029193e-05,0.006166428503184327,
4,7.5e-05,1.0,-0.0005345242842350131,-82.00257567561874,4.1638294468491165e-07,0.8026642853148046,0.08438811060019219,0.00019281870270721242,0.9864668470919034,0.0004895465243050707,0.33932315451764783,2.1101258528187485e-05,0.0065183840852689155,
5,9.999999999999999e-05,1.0,-0.000527093109307503,-79.98283118494913,4.7429071590920257e-07,0.8026642785807827,0.08438815268020138,0.0001953985259298923,0.9864645124680722,0.0004899483105820207,0.33932316252251205,2.110711725075392e-05,0.006590078164258449,
6,0.00012499999999999998,1.0,-0.0005221419691253695,-78.89037986777478,5.408686380101397e-07,0.8026642711807667,0.08438818448202269,0.0001981848214934313,0.9864620765584833,0.0004903891217902986,0.3393231527203431,2.1113383902710127e-05,0.006618575927768534,
7,0.00015,1.0,-0.0005182197572786946,-78.16206678977585,6.138666385941496e-07,0.8026642633362856,0.08438820984599935,0.00020111619703743337,0.9864595721571631,0.0004908576888879076,0.33932313024233723,2.1119935754463488e-05,0.006630067225224415,
8,0.00017500000000000003,1.0,-0.0005152200775662706,-77.58484919387399,6.923999020590448e-07,0.802664255139056,0.08438823032736967,0.0002041672599595217,0.9864570129112614,0.0004913493750472145,0.33932309718100134,2.1126722190458298e-05,0.0066407305410725965,
9,0.00020000000000000004,1.0,-0.000512780537428356,-77.14315807980881,7.755796017652791e-07,0.8026642466714483,0.0843882472745587,0.00020731421557996482,0.9864544111822798,0.000491859783420953,0.3393230555271102,2.1133695990678043e-05,0.0066471291841313585,
10,0.00022500000000000008,1.0,-0.0005107466950277671,-76.78394532890766,8.625368049690577e-07,0.802664237983951,0.08438826134751483,0.00021053906702894222,0.9864517749090879,0.0004923854175087851,0.3393230068852071,2.1140822138240025e-05,0.0066517381054067935,
11,0.00025000000000000006,1.0,-0.0005089241345492052,-76.48446998424724,9.52642163346699e-07,0.8026642291131322,0.0843882730242256,0.00021382877868092947,0.9864491098416777,0.0004929237448594079,0.3393229524174321,2.114807527088475e-05,0.006653953863497039,
